target,text,stance,dataset,word_count,sentence_count,avg_word_length,std_word_length,type_token_ratio,hapax_legomena,stopword_ratio,punctuation_density,noun_ratio,verb_ratio,adj_ratio,adv_ratio,pronoun_ratio,avg_dependency_depth,function_word_ratio,punctuation_usage,readability_score,sentence_length_variation,subordinate_clause_ratio,sentiment_polarity,sentiment_subjectivity,anger,joy,fear,sadness,disgust,surprise,certainty_adverbs_count,certainty_verbs_count,certainty_adjectives_count,doubt_adverbs_count,doubt_verbs_count,doubt_adjectives_count,hedges_score,hedge_C_count,hedge_D_count,hedge_E_count,hedge_I_count,hedge_N_count,C_ratio,D_ratio,E_ratio,I_ratio,N_ratio,type,label
stay_at_home_orders,@noprezzie2012 @dougducey And all of his administration along with every teacher &amp; school administrator in the great state of #Arizona. #Covidhoax #Covid19 #coronascam #CoronaVirusUpdates,0,covid,34.0,2.0,4.941176470588236,4.392113095020023,0.8235294117647058,0.7352941176470589,0.2352941176470588,0.2941176470588235,0.3823529411764705,0.0,0.088235294117647,0.0,0.0294117647058823,1.0,0.3125,0.0294117647058823,11.706666666666669,8.0,0.0,0.8,0.75,0.073864534497261,0.0112223010510206,0.8717811703681946,0.0327373929321765,0.0003306645958218,0.0063564809970557,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,test,0
fauci,@EpochTimes Fauci lied people died.,0,covid,7.0,1.0,4.428571428571429,2.871393034605969,1.0,1.0,0.0,0.2857142857142857,0.4285714285714285,0.2857142857142857,0.1428571428571428,0.0,0.0,1.0,0.0,0.1428571428571428,2.879999999999999,0.0,0.1428571428571428,0.0,0.0,0.0460619255900383,0.0109767755493521,0.0103912381455302,0.8160818219184875,0.0007266072789207,0.0811641588807106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,test,1
healthcare,Possible Collapse Of Anthem-Cigna Deal Could Create Opportunities For Smaller Health Plans https://t.co/Faqq2A7lqP #healthcare,0,wtwt,17.0,1.0,6.647058823529412,4.241825029957634,1.0,1.0,0.1176470588235294,0.4117647058823529,0.5882352941176471,0.0588235294117647,0.1176470588235294,0.0,0.0,1.0,0.1764705882352941,0.0588235294117647,14.7,0.0,0.0,0.0,0.75,0.0153669873252511,0.0058559761382639,0.951644480228424,0.0200338009744882,0.0001865567173808,0.0053315912373363,0.0,0.0,0.0,2.0,0.0,0.0,0.9590360522270204,12.0,0.0,2.0,0.0,0.0,0.8571428571428571,0.0,0.1428571428571428,0.0,0.0,,0
stay_at_home_orders,@nypost Scared companies are losing my support by the day.,0,covid,12.0,1.0,4.083333333333333,2.4986107250941583,1.0,1.0,0.3333333333333333,0.1666666666666666,0.3333333333333333,0.1666666666666666,0.0833333333333333,0.0833333333333333,0.0833333333333333,1.0,0.3636363636363636,0.0833333333333333,6.010000000000002,0.0,0.0,0.0,0.0,0.0163829009979963,0.0039704022929072,0.9627035856246948,0.0129680214449763,0.0002073959476547,0.0031645300332456,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,test,0
fauci,"@realDonaldTrump @Connie11578018 I support you 100 %President Trump. @POTUS 
Just have to say I do not trust these vaccines.
Watch your back with Fauci!!!
That guy has agenda that does not include you as President.
Don't know if you read responses, likely too many. I will keep saying it.",0,covid,63.0,6.0,3.7936507936507935,2.884874238180655,0.7777777777777778,0.6666666666666666,0.3968253968253968,0.2222222222222222,0.238095238095238,0.238095238095238,0.0317460317460317,0.0793650793650793,0.1269841269841269,1.0,0.46875,0.1269841269841269,4.211326530612244,2.4776781245530843,0.0952380952380952,0.1666666666666666,0.5,0.0138281490653753,0.0093669677153229,0.9642581343650818,0.0075040585361421,0.0003552908601704,0.002483433112502,0.0,2.0,3.0,1.0,0.0,0.0,0.9699043035507202,47.0,0.0,1.0,1.0,0.0,0.9591836734693876,0.0,0.0204081632653061,0.0204081632653061,0.0,test,0
healthcare,U.S. says Anthem-Cigna/Aetna-Humana mergers will quash competition/lead to higher consumer prices/reduce benefits: https://t.co/jv7aliEMSA,0,wtwt,16.0,1.0,7.875,6.4408365139941255,0.9375,0.875,0.125,0.8125,0.5,0.1875,0.0625,0.0,0.0,1.0,0.0833333333333333,0.1875,19.0,0.0,0.0625,0.25,0.5,0.1538479626178741,0.1544619053602218,0.0665519833564758,0.0806951597332954,0.0024901935830712,0.1250494122505188,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0
Joe Biden,"Joe Bidens Paid Speech Buoyed the G.O.P. in Midwest Battleground .@JoeBiden Not cool. We need Dems in Congress, &amp; this speech caused a Dem to lose #DontRun",0,pstance,35.0,4.0,3.8,2.594499676513484,0.9142857142857144,0.8571428571428571,0.2285714285714285,0.2857142857142857,0.4,0.1142857142857142,0.0,0.0571428571428571,0.0285714285714285,1.0,0.25,0.1428571428571428,1.9017592592592607,4.301162633521313,0.0571428571428571,-0.175,0.65,0.5879992246627808,0.0099654123187065,0.1273956596851349,0.2575252652168274,0.0006209108978509,0.010538320057094,0.0,1.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,test,1
healthcare,"https://t.co/IT1aCXmNFQ : DOJ sues to block Anthem/Cigna, Aetna/Humana mergers as companies… https://t.co/Educ7d5vgp https://t.co/4Up3tiKIm3",0,wtwt,20.0,1.0,6.4,5.580322571321482,0.75,0.65,0.1,0.95,0.5,0.05,0.1,0.0,0.0,1.0,0.1052631578947368,0.15,16.2,0.0,0.05,0.0,0.0,0.1617527902126312,0.0375592783093452,0.0132253309711813,0.3418730497360229,0.0019673169590532,0.2474741786718368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1
school_closures,During these testing times Gujarat government should support schools that are finding new ways to bring normalcy in the lives of the school going children.,0,covid,26.0,1.0,5.038461538461538,2.209781911111265,0.9615384615384616,0.9230769230769232,0.3846153846153846,0.0384615384615384,0.3461538461538461,0.2307692307692307,0.0384615384615384,0.0,0.0,1.0,0.3846153846153846,0.0384615384615384,11.624000000000002,0.0,0.0,0.1363636363636363,0.4545454545454545,0.0553524307906627,0.008801132440567,0.0153576834127306,0.0152556505054235,0.1316068470478058,0.0041065248660743,0.0,0.0,1.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,test,0
Joe Biden,"#JoeBiden #Biden #WhistleblowerComplaint Why a surprise, nothing new with moving transcript to top secret server.",0,pstance,20.0,1.0,4.95,4.7799058568135,0.9,0.85,0.2,0.25,0.35,0.1,0.1,0.0,0.0,1.0,0.3,0.05,11.500000000000004,0.0,0.0,0.0787878787878787,0.5515151515151515,0.0205533299595117,0.0029185991734266,0.967250108718872,0.0029217544943094,0.0002953883085865,0.0048691052943468,0.0,1.0,2.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,test,1
