target,text,stance
school_closures,"Young people are dying in schools, please close those doors.",1
school_closures,"@RepRalphNorman @grahamblog @SenatorTimScott  @scsenategop #coronavirus #southcarolina
Close the schools!",1
school_closures,In case anyone is wondering my children will not be attending public schools in the fall. #COVID19 #schoolviolence #sexualharassment #SystemicRacism  #bullying #TeachersLivesMatter #SocialInjustice need more reasons? #backtoschool,1
school_closures,"Like what are we going to do if we get it, is there a cure for coronavirus? no. cancel school. We don’t want more children getting sick. @ScottMorrisonMP #Coronavid19 #coronavirus #coronavirusaustralia #Covid_19australia",1
school_closures,"@AprilDRyan My son has asthma and I have multiple autoimmune problems so we decided online was the way to go. A couple of weeks later @CobbSchools agreed that everyone should attend online. I for one commend them for it. It won't be easy but it is necessary!
#Schools",1
school_closures,"tRUmpublicans think it's OK to rape, cage, starve, gun-down or expose our children to a deadly pandemic but lose their shit about abortion.  ",1
school_closures,"@redfreedom2020 @donwinslow Taught 30 years. I can tell you that schools are a Petri dish for germs. Kids don’t follow/understand hygiene standards like adults do, and they constantly touch one another. Normally our bodies fight it off. Not with Covid.",1
school_closures,we request our respected Prime Minister  @ImranKhanPTI and our education minister @Shafqat_Mahmood to announce opening of schools after Eid.,1
school_closures,I don’t care about the coronavirus I just want to get out of this my dumbass school lmao,1
school_closures,Teachers put in a lot of effort to conduct online class. Listen to the teacher and it's a good mode of education in the current scenario. How do we expect schools to pay them without any fees.  #SaveOurSchools,1
school_closures,"We must boycott our schools, and protest to have the schools shut down, due to coronavirus. It's not only threatening to us as students, but to our parents. PEOPLE WHO THINK THAT THIS SITUATION ISN'T AS BAD AS IT SEEMS, YOU ARE DELUSIONAL AS FUCK!",1
school_closures,"@apiper13 @nowthisnews Schools aren't ready.I know when my children get sick i always quarantined them in rooms.Yet I still get it We knw It goes thru the household maybe kids are more ASymptomatic for now until it mutates again &amp; Give it to Others, Teachers,Staff it'll spreads over &amp; over.",1
school_closures,@MSNBC All countries in the western world opening schools but let's see..we don't follow the science to open schools but we followed science to shut down..oh ok now that makes sense.,1
school_closures,"Are we going to allow our kids to be vectors of the #coronavirus and pass it to Grandma and grandpa?

Don't hate the elderly.",1
school_closures,"When trump says,""You don't have to wear a mask.""
I'm wearing a mask.
When trump says""Covid is a hoax.""
I know it's real.
When trump says""Beaches,bars &amp;casinos must open.""
I'm staying home. 
When trump insists,""Children should go to school,"" during a pandemic.
I shout",1
school_closures,"What's more important? A students education? Or the wellness of the student and staff? Closing schools for a day may work for bad weather, but not for the coronavirus. Districts all around need to open their eyes and realize one day closures do nothing to help!",1
school_closures,Just close the schools and promote each and every learner i mean this education system is all about producing factory faults.,1
school_closures,"Grown ass people are constantly throwing temper tantrums over wearing a mask to grocery shop for 30 mins, but kids, especially non neurotypical kids, can absolutely wear a mask for 7 hours a day to go back to school while the politician's kids stay home.",1
school_closures,I just don't understand why schools are opening and the outbreak is getting worse.,1
school_closures,"There isn’t a child on this planet who would social distance and wear a mask for SIX hours a day, 5 days a week.",1
school_closures,Y'all have the highest school shooters numbers and the highest #COVID19 numbers but y'all want kids to go back to school.,1
school_closures,Schools have taken a lot of effort in setting up the online classes. It's a new era of the digital world and we need to support it and not spoil it.,1
school_closures,"My first online class was over Skype and the first 30mins was watching a classmate document himself cooking eggs. All in all a 10/10 experience
#coronavirus #StayAtHome",1
school_closures,Teachers to teach our kids.  They protect them from active shooters.  Now we're asking them to risk their lives/health to free us up to go to work?  Completely crazy.  All teachers should quit if their county forces them to teach in-person. #SchoolReopening,1
school_closures,@JoshuaPotash @thegoodgodabove The way we'll know if @GOP really thinks it will be safe to go back to classrooms will be if they gut OSHA provisions for Workers Compensation if employees contract work related COVID19 illnesses. That would be a strike-worthy issue. #coronavirus,1
school_closures,"Now Cohen is getting released. Just so we keep the record straight I’d like to remind everyone Covid-19 has made prisons so dangerous that Manafort, Stone, and Cohen are not incarcerated. Meanwhile President Ding Dong is lobbying for kids to be in school.",1
school_closures,"What’s wrong with the corona virus. People are stocking up for an apocalypse and it’s stupid. Calm down, it’s literally a worse real story flu and why are people having a seizure over this. I’m acting like it doesn’t exist. But close the schools please",1
school_closures,"9/ Bottom line: If we value Black and Latinx lives, we should only open schools if it’s 100% safe to do so. 

Facts are facts.",1
school_closures,"It my opinion schools should stay closed not just cusse of corona 
",1
school_closures,"@MollyJongFast Children are not allowed in school if they have a contagious disease. 
Letters are sent home informing parents. Just in case.
Asymptomatic covid
Could quickly infect the entire school. Then the community.
It is foolish to contemplate opening until testing is in place.",1
school_closures,@richardmarx It makes 0 sense that we send kids back to school when we still need to mask up and distance everywhere else.,1
school_closures,"@CDCDirector Bullshit
When @SenRickScott and @realDonaldTrump send their kids and grandkids back to school instead of distance learning? Then let's  talk ...
#teacherproblems #COVIDIDIOTS #COVID19 #ReopenSchools #teacherlivesmatter #StudentsLivesMatters #distancelearning",1
school_closures,"@GOP We are fine with opening schools with a PLAN, mandatory masks, contact tracing, onsite testing with same day results, required social distancing. PPE for teachers, staff, janitors, etc. It requires MONEY and the do-nothing GOP will provide none of that.",1
school_closures,"@kurteichenwald Do not take the excuse that it's the school's decision and it's a private school. Believe that 45 should be putting pressure on his son's school to open just like he's putting pressure on public schools.

I don't care what schools open. Mine is going virtually.",1
