feature,shap_importance,linear_importance,linear_std,linear_count,_merge,shap_rank,linear_rank,overlap_status
fear,0.427729,0.029950806871056515,0.004622838350129847,13.0,both,1.0,10.0,Both methods
anger,0.42586,0.02627960893397143,0.003788832725397425,13.0,both,2.0,16.0,Both methods
noun_ratio,0.397081,0.028041808364482976,0.004410648405408208,13.0,both,3.0,13.0,Both methods
joy,0.381068,0.030862419507824417,0.007956802851056597,13.0,both,4.0,9.0,Both methods
verb_ratio,0.365553,0.02570672247272267,0.006246539228466821,13.0,both,5.0,18.0,Both methods
surprise,0.361885,0.03243842348456379,0.010836511054001567,13.0,both,6.0,4.0,Both methods
avg_word_length,0.335561,0.026795633137226046,0.0059534565837847525,13.0,both,7.0,14.0,Both methods
punctuation_density,0.305619,0.024610873741599187,0.005533080246766169,13.0,both,8.0,22.0,Both methods
disgust,0.286651,0.023747414780350775,0.003678172986880583,13.0,both,9.0,26.0,Both methods
sadness,0.274293,0.022857981662337545,0.0035835695129649075,13.0,both,10.0,29.0,Both methods
std_word_length,0.254313,0.02217218852960142,0.003369909617824467,13.0,both,11.0,31.0,Both methods
hedge_C_count,0.247926,0.04045742764495881,0.014327156996485036,13.0,both,12.0,1.0,Both methods
function_word_ratio,0.224404,0.02410165807948656,0.0046608575120933695,13.0,both,13.0,24.0,Both methods
stopword_ratio,0.223756,0.0261319973147832,0.008328137746247112,13.0,both,14.0,17.0,Both methods
readability_score,0.217136,0.021436849537377116,0.002897770719577692,13.0,both,15.0,34.0,Both methods
type_token_ratio,0.20863,0.026574454485223782,0.005568908196998164,13.0,both,16.0,15.0,Both methods
sentiment_subjectivity,0.206128,0.023387373783267426,0.004594228256836563,13.0,both,17.0,28.0,Both methods
word_count,0.193613,0.03566240461973039,0.01681963655994005,13.0,both,18.0,2.0,Both methods
adj_ratio,0.187962,0.019957199477805495,0.002923141896654374,13.0,both,19.0,36.0,Both methods
punctuation_usage,0.183949,0.02395704202353949,0.005825242336642127,13.0,both,20.0,25.0,Both methods
subordinate_clause_ratio,0.179839,0.024428974192302923,0.005280582473355834,13.0,both,21.0,23.0,Both methods
sentiment_polarity,0.162188,0.02868717865875129,0.0064837064102466375,13.0,both,22.0,12.0,Both methods
hapax_legomena,0.12566,0.0226863616934189,0.004372858241924698,13.0,both,23.0,30.0,Both methods
pronoun_ratio,0.120767,0.02520654966624878,0.006036096947171954,13.0,both,24.0,19.0,Both methods
adv_ratio,0.114856,0.025190130305977918,0.004489328954777055,13.0,both,25.0,20.0,Both methods
sentence_length_variation,0.099671,0.0234471916292722,0.004376126461350952,13.0,both,26.0,27.0,Both methods
certainty_adjectives_count,0.091697,0.0311011123972443,0.01245990994493743,13.0,both,27.0,7.0,Both methods
sentence_count,0.089726,0.02928856975184033,0.014600574992007221,13.0,both,28.0,11.0,Both methods
hedges_score,0.054514,0.03129346410815528,0.007849948339934031,13.0,both,29.0,6.0,Both methods
C_ratio,0.054399,0.03167212962244559,0.011464450285313451,13.0,both,30.0,5.0,Both methods
doubt_adverbs_count,0.053504,0.022002822176242828,0.009751953747767977,12.0,both,31.0,33.0,Both methods
certainty_verbs_count,0.049479,0.024650177130332327,0.015778346180281417,13.0,both,32.0,21.0,Both methods
certainty_adverbs_count,0.033514,0.020177751994476804,0.011160753535500308,13.0,both,33.0,35.0,Both methods
doubt_adjectives_count,0.025777,0.031033690732258982,0.013111666723850252,13.0,both,34.0,8.0,Both methods
E_ratio,0.016838,0.03427733123923336,0.02472305702934228,12.0,both,35.0,3.0,Both methods
N_ratio,0.010451,0.022048210783395885,0.015704408041120305,12.0,both,36.0,32.0,Both methods
hedge_N_count,0.006519,,,,left_only,37.0,40.5,SHAP only
doubt_verbs_count,0.00626,,,,left_only,38.0,40.5,SHAP only
D_ratio,0.003438,,,,left_only,39.0,40.5,SHAP only
hedge_E_count,0.002047,,,,left_only,40.0,40.5,SHAP only
avg_dependency_depth,0.0,,,,left_only,42.5,40.5,SHAP only
I_ratio,0.0,,,,left_only,42.5,40.5,SHAP only
hedge_D_count,0.0,,,,left_only,42.5,40.5,SHAP only
hedge_I_count,0.0,,,,left_only,42.5,40.5,SHAP only
