feature,shap_importance,iteration,stance,model
fear,0.6802579,2,All_Stances,XGBoost
noun_ratio,0.59737855,2,All_Stances,XGBoost
surprise,0.5765009,2,All_Stances,XGBoost
avg_word_length,0.47210672,2,All_Stances,XGBoost
anger,0.46897167,2,All_Stances,XGBoost
std_word_length,0.41467515,2,All_Stances,XGBoost
joy,0.3903117,2,All_Stances,XGBoost
disgust,0.302568,2,All_Stances,XGBoost
sentiment_subjectivity,0.25621736,2,All_Stances,XGBoost
hedge_C_count,0.25066826,2,All_Stances,XGBoost
stopword_ratio,0.24842416,2,All_Stances,XGBoost
sadness,0.23610212,2,All_Stances,XGBoost
function_word_ratio,0.22806932,2,All_Stances,XGBoost
punctuation_density,0.22453289,2,All_Stances,XGBoost
word_count,0.20080884,2,All_Stances,XGBoost
verb_ratio,0.19712567,2,All_Stances,XGBoost
adj_ratio,0.18387276,2,All_Stances,XGBoost
pronoun_ratio,0.17872621,2,All_Stances,XGBoost
readability_score,0.17740422,2,All_Stances,XGBoost
sentence_count,0.13637279,2,All_Stances,XGBoost
hapax_legomena,0.122531086,2,All_Stances,XGBoost
sentiment_polarity,0.11243873,2,All_Stances,XGBoost
type_token_ratio,0.11074199,2,All_Stances,XGBoost
punctuation_usage,0.10917438,2,All_Stances,XGBoost
adv_ratio,0.091123305,2,All_Stances,XGBoost
sentence_length_variation,0.08935786,2,All_Stances,XGBoost
certainty_adjectives_count,0.077835836,2,All_Stances,XGBoost
subordinate_clause_ratio,0.054520592,2,All_Stances,XGBoost
doubt_adjectives_count,0.050631523,2,All_Stances,XGBoost
hedges_score,0.047493357,2,All_Stances,XGBoost
N_ratio,0.031076496,2,All_Stances,XGBoost
certainty_adverbs_count,0.024127455,2,All_Stances,XGBoost
E_ratio,0.022190103,2,All_Stances,XGBoost
certainty_verbs_count,0.020113982,2,All_Stances,XGBoost
C_ratio,0.018931359,2,All_Stances,XGBoost
doubt_adverbs_count,0.01197747,2,All_Stances,XGBoost
hedge_E_count,0.007637409,2,All_Stances,XGBoost
hedge_N_count,0.0015970331,2,All_Stances,XGBoost
avg_dependency_depth,0.0,2,All_Stances,XGBoost
doubt_verbs_count,0.0,2,All_Stances,XGBoost
hedge_D_count,0.0,2,All_Stances,XGBoost
hedge_I_count,0.0,2,All_Stances,XGBoost
D_ratio,0.0,2,All_Stances,XGBoost
I_ratio,0.0,2,All_Stances,XGBoost
