feature,shap_importance,iteration,stance,model
noun_ratio,1.2660187,1,AGAINST,XGBoost
disgust,0.887137,1,AGAINST,XGBoost
readability_score,0.59709233,1,AGAINST,XGBoost
stopword_ratio,0.544256,1,AGAINST,XGBoost
std_word_length,0.46912438,1,AGAINST,XGBoost
joy,0.40331838,1,AGAINST,XGBoost
verb_ratio,0.385289,1,AGAINST,XGBoost
punctuation_usage,0.33450153,1,AGAINST,XGBoost
adv_ratio,0.32230636,1,AGAINST,XGBoost
function_word_ratio,0.26841748,1,AGAINST,XGBoost
surprise,0.26775208,1,AGAINST,XGBoost
hapax_legomena,0.23786531,1,AGAINST,XGBoost
sentiment_subjectivity,0.23203099,1,AGAINST,XGBoost
sadness,0.20328185,1,AGAINST,XGBoost
punctuation_density,0.20234768,1,AGAINST,XGBoost
type_token_ratio,0.172561,1,AGAINST,XGBoost
sentiment_polarity,0.15706687,1,AGAINST,XGBoost
pronoun_ratio,0.15395291,1,AGAINST,XGBoost
word_count,0.14478813,1,AGAINST,XGBoost
subordinate_clause_ratio,0.12909813,1,AGAINST,XGBoost
adj_ratio,0.12328319,1,AGAINST,XGBoost
anger,0.10727357,1,AGAINST,XGBoost
fear,0.0997596,1,AGAINST,XGBoost
avg_word_length,0.09800864,1,AGAINST,XGBoost
sentence_length_variation,0.08506093,1,AGAINST,XGBoost
hedge_C_count,0.043628763,1,AGAINST,XGBoost
hedges_score,0.023862012,1,AGAINST,XGBoost
C_ratio,0.023495812,1,AGAINST,XGBoost
E_ratio,0.009917864,1,AGAINST,XGBoost
sentence_count,0.0,1,AGAINST,XGBoost
certainty_adverbs_count,0.0,1,AGAINST,XGBoost
avg_dependency_depth,0.0,1,AGAINST,XGBoost
doubt_verbs_count,0.0,1,AGAINST,XGBoost
doubt_adverbs_count,0.0,1,AGAINST,XGBoost
certainty_verbs_count,0.0,1,AGAINST,XGBoost
certainty_adjectives_count,0.0,1,AGAINST,XGBoost
hedge_D_count,0.0,1,AGAINST,XGBoost
doubt_adjectives_count,0.0,1,AGAINST,XGBoost
hedge_I_count,0.0,1,AGAINST,XGBoost
hedge_E_count,0.0,1,AGAINST,XGBoost
hedge_N_count,0.0,1,AGAINST,XGBoost
D_ratio,0.0,1,AGAINST,XGBoost
I_ratio,0.0,1,AGAINST,XGBoost
N_ratio,0.0,1,AGAINST,XGBoost
