target,text,stance
Atheism,@FaithMattersUK we could all just not use religion and beliefs as an excuse to murder and hate? #don'tmurder #SemST,1
Atheism,"By accepting religion, you are pulling a big fuzz ball of superstition into your brain.  #freethinker #SemST",1
Atheism,"As opposed to how the media portrays him,the pope is a religious wacko just like any of them and still supports bigotry & misogyny #SemST",1
Atheism,Subtract secularism from modern systems of superstition & you'll be left with the ancient anarchy of archaic theocracy.  #SemST,1
Atheism,Question to the #religious folks out there who can't comprehend the universe having began without a God. Where did God come from? #SemST,1
Atheism,"If the governments of all countries were secular, the world would be a much different, probably better, place. Realising this now. #SemST",1
Atheism,"#Religions can't all be right, but they can all be wrong. #SemST",1
Atheism,"How do they come up with this insanity? Oh wait, they believe in a Sky-God.  #fyilive, #SemST",1
Atheism,The experience of most LGBT people shows them that organised religion is often nothing but structured bullying. #SemST,1
Atheism,"In the big picture, religion is bad for society because it blunts reason.   #freethinker #SemST",1
Atheism,Religion has destroyed the ability for some to say know.   #SemST,1
Atheism,"@Brasilmagic @neiltyson there's no god 2b tired of, just tired o ppl believing in such nonsense. Time 2 focus on reality, HUMANITY #SemST",1
