feature,shap_importance,iteration,stance,model
surprise,0.88654923,7,AGAINST,XGBoost
fear,0.71293086,7,AGAINST,XGBoost
sentence_length_variation,0.5208923,7,AGAINST,XGBoost
stopword_ratio,0.45796883,7,AGAINST,XGBoost
disgust,0.43482664,7,AGAINST,XGBoost
word_count,0.4301604,7,AGAINST,XGBoost
readability_score,0.40052545,7,AGAINST,XGBoost
hedge_C_count,0.3602387,7,AGAINST,XGBoost
sadness,0.34726754,7,AGAINST,XGBoost
punctuation_usage,0.32073373,7,AGAINST,XGBoost
function_word_ratio,0.30374455,7,AGAINST,XGBoost
std_word_length,0.24934278,7,AGAINST,XGBoost
avg_word_length,0.24033357,7,AGAINST,XGBoost
joy,0.22330582,7,AGAINST,XGBoost
pronoun_ratio,0.21688727,7,AGAINST,XGBoost
subordinate_clause_ratio,0.20313251,7,AGAINST,XGBoost
sentiment_polarity,0.19323839,7,AGAINST,XGBoost
hapax_legomena,0.16861397,7,AGAINST,XGBoost
adv_ratio,0.1636702,7,AGAINST,XGBoost
punctuation_density,0.1610613,7,AGAINST,XGBoost
anger,0.15865943,7,AGAINST,XGBoost
noun_ratio,0.14308208,7,AGAINST,XGBoost
verb_ratio,0.11918503,7,AGAINST,XGBoost
type_token_ratio,0.10818286,7,AGAINST,XGBoost
sentiment_subjectivity,0.103634804,7,AGAINST,XGBoost
adj_ratio,0.063141376,7,AGAINST,XGBoost
certainty_adjectives_count,0.055226028,7,AGAINST,XGBoost
certainty_verbs_count,0.03108951,7,AGAINST,XGBoost
sentence_count,0.026131907,7,AGAINST,XGBoost
doubt_adverbs_count,0.022574589,7,AGAINST,XGBoost
C_ratio,0.020737737,7,AGAINST,XGBoost
doubt_adjectives_count,0.015745629,7,AGAINST,XGBoost
certainty_adverbs_count,0.0,7,AGAINST,XGBoost
avg_dependency_depth,0.0,7,AGAINST,XGBoost
hedges_score,0.0,7,AGAINST,XGBoost
doubt_verbs_count,0.0,7,AGAINST,XGBoost
hedge_D_count,0.0,7,AGAINST,XGBoost
hedge_E_count,0.0,7,AGAINST,XGBoost
hedge_I_count,0.0,7,AGAINST,XGBoost
hedge_N_count,0.0,7,AGAINST,XGBoost
D_ratio,0.0,7,AGAINST,XGBoost
E_ratio,0.0,7,AGAINST,XGBoost
I_ratio,0.0,7,AGAINST,XGBoost
N_ratio,0.0,7,AGAINST,XGBoost
