target,text,stance
Atheism,@BJPScams @ANI_news Elections were nearing in Bihar / UP / TN so he may be so sickularism sorry #SemST,2
Atheism,@Jaikrishnashree #italianchachi420 UDF/LDF made #Kerala the most backward southern state & cluelss #Hindus keep voting #marxism #SemST,2
Atheism,I think my username would be cool but now it looks stupid. #SemST,2
Climate Change is a Real Concern,@soundofideas we Have to talk about new normals #SemST,2
Climate Change is a Real Concern,Our cardboard city with @Joshpaulevans from @TearfundRhythms in our @cscw_uk youth club on Monday. #SemST,2
Climate Change is a Real Concern,A Very Good Discussion:Ruth Valerio @ARochaUK and Premier Radio's @revcindy1 on key issues affecting us in #Pope #Encyclical #SemST,2
Climate Change is a Real Concern,@JimHarris thank you for the follow Jim!  I'm flattered!  #SemST,2
Climate Change is a Real Concern,"$500,000 on flags in 12 months  vs  An Inter-Generational Rot that addresses   #ThingsToSpendMyTaxesOnOtherThanFlags #SemST",2
Climate Change is a Real Concern,"Lot's of time, class over! @nationaljournal #SemST",2
Climate Change is a Real Concern,"@LiberalAus - ""All"" you folks #owe me an #official #apology at this point ""absolute"" ([minimum]), re's D #peace #Transparency #SemST",2
Feminist Movement,@mustangALLIE_ and i was agreeing with ur tweet #SemST,2
Feminist Movement,@NuuYawkerr I have a solution kill all of us... #SemST,2
Feminist Movement,last RT demonstrates relevance of preceding RTs #SemST,2
Feminist Movement,@KatTimpf @ShannonBream great review. Thanks for your report! Excellent rebuttal of #SemST,2
Feminist Movement,YO @kaitlynbristowe YOU GET YOURS GIRL.     #TheBachelorette #SemST,2
Feminist Movement,@datsradd why not the right? Why always the left titty ? #SemST,2
Feminist Movement,"Tomorrow, we gone see think pieces on @KeyAndPeele 's pirate skit. #wesayyoho #butwedontsayho #cuzhoisdisrespectfulyo #kinda #SemST",2
Hillary Clinton,@tiffiwestcott  I got mine and I love it. #SemST,2
Hillary Clinton,Barrack Obama doesn't care about his own town! Where do you live? Think he cares about you?   #TheFive #NoSanctuaryCities #2A #SemST,2
Hillary Clinton,@AdamSmith_USA Nice video. GOOD Luck WITH it. #SemST,2
Hillary Clinton,just saw ad about @marcorubio being tough on #iran it made my brain hurt #Election2016 #politics #SemST,2
Hillary Clinton,@LeighAnnKopans can I get your pattern for this cross stitch? I want to make my own! #pride #SemST,2
Hillary Clinton,@CNNPolitics @PoliticalAnt @moody this is beautiful #oops #SemST,2
Hillary Clinton,@Independent Maybe it's his last name? Or maybe he's a bonafide racist with a militia membership. Lol. #Tattoos #SemST,2
Hillary Clinton,The rebel flag flew off the pole & pulled trigger on gun that fired by itself  liberal dementia growing  daily #2a #rebelflag #SemST,2
