feature,shap_importance,iteration,stance,model
punctuation_density,1.4403505722015624,10,AGAINST,Logistic Regression
noun_ratio,0.7738784320516933,10,AGAINST,Logistic Regression
function_word_ratio,0.7607767694802585,10,AGAINST,Logistic Regression
verb_ratio,0.6326691825596851,10,AGAINST,Logistic Regression
hedge_C_count,0.6031641530416013,10,AGAINST,Logistic Regression
anger,0.5304835559877815,10,AGAINST,Logistic Regression
type_token_ratio,0.4687406108676269,10,AGAINST,Logistic Regression
subordinate_clause_ratio,0.3852382079250998,10,AGAINST,Logistic Regression
joy,0.3734027292183678,10,AGAINST,Logistic Regression
adj_ratio,0.36215938476438536,10,AGAINST,Logistic Regression
avg_word_length,0.30685103258069524,10,AGAINST,Logistic Regression
D_ratio,0.3053861488634584,10,AGAINST,Logistic Regression
hedge_E_count,0.30012959557772667,10,AGAINST,Logistic Regression
hapax_legomena,0.2824314487582754,10,AGAINST,Logistic Regression
sentiment_polarity,0.22061516086664193,10,AGAINST,Logistic Regression
hedges_score,0.22060047428791832,10,AGAINST,Logistic Regression
stopword_ratio,0.20145407622698155,10,AGAINST,Logistic Regression
doubt_adverbs_count,0.19624524337116422,10,AGAINST,Logistic Regression
sentence_count,0.19207489606776612,10,AGAINST,Logistic Regression
hedge_N_count,0.19149339601666962,10,AGAINST,Logistic Regression
readability_score,0.1861720249837075,10,AGAINST,Logistic Regression
doubt_adjectives_count,0.18510159745092,10,AGAINST,Logistic Regression
N_ratio,0.18472373099834188,10,AGAINST,Logistic Regression
fear,0.16169003839909324,10,AGAINST,Logistic Regression
disgust,0.1535512780293582,10,AGAINST,Logistic Regression
doubt_verbs_count,0.14897850035572777,10,AGAINST,Logistic Regression
E_ratio,0.14251956433648047,10,AGAINST,Logistic Regression
certainty_verbs_count,0.1348279537688448,10,AGAINST,Logistic Regression
hedge_D_count,0.12725618765899507,10,AGAINST,Logistic Regression
pronoun_ratio,0.12344334531985529,10,AGAINST,Logistic Regression
sentiment_subjectivity,0.1079175059039034,10,AGAINST,Logistic Regression
std_word_length,0.10671665267837509,10,AGAINST,Logistic Regression
certainty_adjectives_count,0.10579918858006195,10,AGAINST,Logistic Regression
C_ratio,0.08355092461044059,10,AGAINST,Logistic Regression
sadness,0.08241700736452517,10,AGAINST,Logistic Regression
word_count,0.07963095743076122,10,AGAINST,Logistic Regression
sentence_length_variation,0.06893534359221609,10,AGAINST,Logistic Regression
adv_ratio,0.06682640445409359,10,AGAINST,Logistic Regression
punctuation_usage,0.06085264506678262,10,AGAINST,Logistic Regression
hedge_I_count,0.017500962762780986,10,AGAINST,Logistic Regression
surprise,0.013195339206820233,10,AGAINST,Logistic Regression
certainty_adverbs_count,0.010260015648789143,10,AGAINST,Logistic Regression
I_ratio,0.008709980301247084,10,AGAINST,Logistic Regression
avg_dependency_depth,0.0,10,AGAINST,Logistic Regression
