target,text,stance
Bernie Sanders,"This poll is not reflecting anything: ""age was lightly weighted, thus reflecting the gender and age breakdowns of Iowa Democratic caucusgoers in previous election years."" #BernieSanders will turn out a huge number of young &amp; working class voters. So keep pushing Berners!",0
Bernie Sanders,"Yes! We will not back down when the mainstream media attack, smear, mock, denigrate us & our movement! The American people deserve better from our media & our journalists! Period! #BernieSanders",0
Bernie Sanders,MAGA Left Folks very hostile people have been in my mentions all day... They love the fight... #BernieSanders,0
Bernie Sanders,"He will fight, and he will inspire us to join him, and together we can transform our country. #JusticeForAll #RealLeader #Bernie",0
Bernie Sanders,Thank GOD! For a minute I was worried she would endorse #BernieSanders #Bernie,0
Bernie Sanders,"Excellent thread that literally summed up all my issues with Warren. I think she's extremely weak, especially in areas the American people would need her support most. Plus she hasn't come out against all the wars like Sanders has. For me, it's #BernieOrGreen.",0
Bernie Sanders,Due to all of this confusion caused by Coronavirus I was able to vote for Bernie nearly 50 times before getting tired and deciding to take a quick lunch break. I plan on going back and voting many more times before my polling place closes. I suggest you all try it!,0
Bernie Sanders,"Sanders has great ideas but Americans just don't want nor can they afford to pay higher taxes. Especially now. Change takes being collaborative, not being combative",0
Bernie Sanders,"When you cant beat him, just make up bull , and hope it sticks. #Bernie",0
Bernie Sanders,"Seth Rich This #Bernie is easily in my top-ten favorite #Americans of all time. Compare #SethRich w #Bernie. One got killed defending liberty, the other got a lake house to look the other way. #HisNameWasSethRich #JulianAssange #WikiLeaks #Podesta #DWS #Brazile #MS13 #DNC",0
Bernie Sanders,"You need a mirror. You think you have vetted your sources of information more intensely than others have. If any of your information is coming from cable news, you are being lied to and led by the nose. #BernieSanders",0
Bernie Sanders,Calling it a movement is giving it more credit that it deserves. It is more akin to a cult. No other way to describe it. Let's stop pussyfooting around this. #PrimaryWarren #BernieSanders #BernieBruh #BernieBruhs,0
Bernie Sanders,#MrPotatoHead and #MrsPotatoHead endores @BernieSanders for #POTUS as they doesn't expect the President to do any less than they do.,0
Bernie Sanders,"If you're young, you don't need medicare. I'll take $1,000 a month for life over free college any day. Simple MATH. #berniesanders #AndrewYang",0
Bernie Sanders,"Sure @BernieSanders , why not destroy the Democrats chances once again.",0
Bernie Sanders,"As much as the Democratic Party concerns me, I am aware that US President has to lead both nation and party, and you cant do that by bullying everyone who disagrees with you. #BernieSanders platform is progressive, but the culture the campaign is creating is not. #DoBetterBernie",0
Bernie Sanders,Not a fan of #BernieSanders but I can see when the deck is stacked against someone. Via @Timcast,0
Bernie Sanders,"Rather than go jugular , how about spending that effort to getting #Bernies supporters to go from #rallies to ACTUAL #VOTINGBOOTHS",0
Bernie Sanders,"Bernie is driving the dems left, I agree with that idea, I'm sick of dems taking big pharma, or payday loan money, amongst the many other big money dems. Kamala Harris gets it, she just said no corp money, it's the only way to take back the country from citizens united corp money",0
Bernie Sanders,"Prisoners have (ostensible) right to not be beaten, raped, tortured, etc. Arguing that prisoners have given up their rights entirely while incarcerated is distortionary. Canada & others allow #prisoners to #vote, with positive effects. Isn't #rehabilitation ultimate goal? #Bernie",0
