target,text,stance,word_count,sentence_count,avg_word_length,std_word_length,type_token_ratio,hapax_legomena,stopword_ratio,punctuation_density,noun_ratio,verb_ratio,adj_ratio,adv_ratio,pronoun_ratio,avg_dependency_depth,function_word_ratio,punctuation_usage,readability_score,sentence_length_variation,subordinate_clause_ratio,sentiment_polarity,sentiment_subjectivity,anger,joy,fear,sadness,disgust,surprise,certainty_adverbs_count,certainty_verbs_count,certainty_adjectives_count,doubt_adverbs_count,doubt_verbs_count,doubt_adjectives_count,hedges_score,hedge_C_count,hedge_D_count,hedge_E_count,hedge_I_count,hedge_N_count,C_ratio,D_ratio,E_ratio,I_ratio,N_ratio
Climate Change is a Real Concern,Closed door session begins. More after they decide on the entities.  #GCF #SemST,2,17.0,3.0,3.9411764705882355,2.1820278812931067,0.8823529411764706,0.7647058823529411,0.29411764705882354,0.23529411764705882,0.29411764705882354,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.058823529411764705,1.0,0.2777777777777778,0.11764705882352941,4.6,2.0548046676563256,0.11764705882352941,0.2,0.3,0.04667656868696213,0.01873355358839035,0.9031655788421631,0.012455105781555176,0.0009420987335033715,0.010898806154727936,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Climate Change is a Real Concern,It literarly just took me 10 minutes to get in a bus because an old lady just had to go in front of everyone... #SemST,2,27.0,1.0,3.4814814814814814,2.079358347795289,0.8888888888888888,0.7777777777777778,0.48148148148148145,0.14814814814814814,0.2222222222222222,0.14814814814814814,0.037037037037037035,0.1111111111111111,0.07407407407407407,1.0,0.6296296296296297,0.1111111111111111,9.5,0.0,0.14814814814814814,0.1,0.2,0.11306463927030563,0.010027455165982246,0.3909665048122406,0.010779722593724728,0.0036559312138706446,0.42597630620002747,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Climate Change is a Real Concern,@soundofideas we Have to talk about new normals #SemST,2,11.0,1.0,4.181818181818182,3.0396824540546343,1.0,1.0,0.36363636363636365,0.18181818181818182,0.2727272727272727,0.18181818181818182,0.18181818181818182,0.0,0.09090909090909091,1.0,0.4,0.0,2.1,0.0,0.09090909090909091,0.13636363636363635,0.45454545454545453,0.05741138756275177,0.09772446751594543,0.6003576517105103,0.06209735572338104,0.0005201472667977214,0.12785740196704865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Climate Change is a Real Concern,As Western Canada Burns Harper's got his head so deep in the #tarsands he can see #ChristyClark's ankles #BCwildfire #cdnpoli #SemST,2,28.0,1.0,4.0,2.815771906346718,0.8214285714285714,0.75,0.25,0.25,0.2857142857142857,0.10714285714285714,0.10714285714285714,0.03571428571428571,0.07142857142857142,1.0,0.35714285714285715,0.0,6.8,0.0,0.07142857142857142,0.0,0.2,0.07722683995962143,0.0049726702272892,0.9078786373138428,0.005207125563174486,0.00037341503775678575,0.002667400985956192,0.0,0.0,0.0,1.0,0.0,1.0,0.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Climate Change is a Real Concern,@TheWayneKing @RickSantorum @hardball @hardball_chris What values is heUsing ref criminal safety checks for weaponsAddressing #SemST,2,20.0,1.0,5.9,4.635730794599704,0.85,0.8,0.15,0.3,0.45,0.3,0.1,0.0,0.0,1.0,0.1875,0.0,13.9,0.0,0.0,-0.4,0.55,0.09515443444252014,0.0068180193193256855,0.8694827556610107,0.022149542346596718,0.0002798035857267678,0.003173279343172908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Climate Change is a Real Concern,It's most exciting to witness a major development! @urgenda #SemST,2,14.0,2.0,4.071428571428571,3.0813792300175704,1.0,1.0,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.07142857142857142,0.07142857142857142,1.0,0.38461538461538464,0.07142857142857142,10.7,3.0,0.07142857142857142,0.29270833333333335,0.6,0.01258786953985691,0.6850111484527588,0.26491397619247437,0.0037564896047115326,0.001231263275258243,0.026998640969395638,0.0,0.0,1.0,1.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Climate Change is a Real Concern,"@ChadCowie Indigenous ppl will save the country, if it's not too late. #SemST",2,18.0,2.0,3.611111111111111,2.5849755831404093,1.0,1.0,0.3333333333333333,0.2777777777777778,0.2777777777777778,0.1111111111111111,0.05555555555555555,0.16666666666666666,0.05555555555555555,1.0,0.4117647058823529,0.05555555555555555,4.8,5.5,0.16666666666666666,-0.3,0.6,0.036319512873888016,0.016354409977793694,0.8730717897415161,0.04864736646413803,0.00048225370119325817,0.009006674401462078,0.0,0.0,1.0,0.0,0.0,0.0,0.9683153629302979,11.0,0.0,0.0,0.0,2.0,0.8461538461538461,0.0,0.0,0.0,0.15384615384615385
Climate Change is a Real Concern,Haven't moved an inch since yesterday.  #bcpoli #vancouver #bcwildfire #yvr #realrenewables #SemST,2,20.0,2.0,4.3,3.606937759374287,0.75,0.7,0.1,0.4,0.25,0.1,0.05,0.15,0.0,1.0,0.19047619047619047,0.05,8.0,0.0,0.0,0.0,0.0,0.049165140837430954,0.006894503254443407,0.9315381050109863,0.007626375649124384,0.0002854763879440725,0.0026934698689728975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Climate Change is a Real Concern,@Gwillaumau @timpoliti @ABCthedrum @whelan60 @chrisberg NEVER KNEW INCONVENIENT FACTS WARRANTED A SHRINK!!! ROTFLMAO #auspol #SemST,2,25.0,2.0,4.68,3.6956190279843506,0.72,0.6,0.04,0.4,0.68,0.04,0.04,0.04,0.0,1.0,0.1,0.12,10.9,4.5,0.0,-1.0,1.0,0.4123927652835846,0.012387641705572605,0.5540269613265991,0.010446584783494473,0.0003827724722214043,0.007463132031261921,1.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Climate Change is a Real Concern,Our cardboard city with @Joshpaulevans from @TearfundRhythms in our @cscw_uk youth club on Monday. #SemST,2,20.0,2.0,4.55,3.81411850890871,0.9,0.85,0.3,0.3,0.45,0.0,0.15,0.0,0.1,1.0,0.35294117647058826,0.05,6.8,6.5,0.0,0.0,0.0,0.05790882930159569,0.12287935614585876,0.7562423944473267,0.018198193982243538,0.001272164867259562,0.020447421818971634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Climate Change is a Real Concern,A Very Good Discussion:Ruth Valerio @ARochaUK and Premier Radio's @revcindy1 on key issues affecting us in #Pope #Encyclical #SemST,2,27.0,1.0,4.185185185185185,2.994278952801146,0.8888888888888888,0.8148148148148148,0.18518518518518517,0.25925925925925924,0.48148148148148145,0.037037037037037035,0.07407407407407407,0.037037037037037035,0.037037037037037035,1.0,0.28,0.0,10.7,0.0,0.0,0.45499999999999996,0.8900000000000001,0.006959039252251387,0.03886926546692848,0.9333429336547852,0.015197684988379478,0.00038996204966679215,0.003632794599980116,0.0,0.0,0.0,1.0,0.0,1.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
