feature,shap_importance,iteration,stance,model
verb_ratio,0.61230963,9,NONE,XGBoost
fear,0.58720684,9,NONE,XGBoost
anger,0.46646258,9,NONE,XGBoost
stopword_ratio,0.39919975,9,NONE,XGBoost
std_word_length,0.39092118,9,NONE,XGBoost
word_count,0.33250463,9,NONE,XGBoost
adj_ratio,0.32861474,9,NONE,XGBoost
disgust,0.2954811,9,NONE,XGBoost
joy,0.29360074,9,NONE,XGBoost
surprise,0.28382528,9,NONE,XGBoost
sadness,0.2718045,9,NONE,XGBoost
avg_word_length,0.26608256,9,NONE,XGBoost
noun_ratio,0.25528365,9,NONE,XGBoost
function_word_ratio,0.24698888,9,NONE,XGBoost
type_token_ratio,0.24450728,9,NONE,XGBoost
hedge_C_count,0.23414488,9,NONE,XGBoost
punctuation_density,0.2267234,9,NONE,XGBoost
sentiment_subjectivity,0.22657928,9,NONE,XGBoost
punctuation_usage,0.20146613,9,NONE,XGBoost
readability_score,0.18695106,9,NONE,XGBoost
subordinate_clause_ratio,0.17809084,9,NONE,XGBoost
hapax_legomena,0.17215492,9,NONE,XGBoost
adv_ratio,0.14729258,9,NONE,XGBoost
sentence_count,0.1131783,9,NONE,XGBoost
sentiment_polarity,0.10282696,9,NONE,XGBoost
pronoun_ratio,0.06359684,9,NONE,XGBoost
sentence_length_variation,0.059295285,9,NONE,XGBoost
C_ratio,0.044127718,9,NONE,XGBoost
certainty_verbs_count,0.027932491,9,NONE,XGBoost
E_ratio,0.019902738,9,NONE,XGBoost
doubt_adverbs_count,0.017995147,9,NONE,XGBoost
certainty_adverbs_count,0.017906612,9,NONE,XGBoost
hedges_score,0.017702594,9,NONE,XGBoost
certainty_adjectives_count,0.012957098,9,NONE,XGBoost
N_ratio,0.008179924,9,NONE,XGBoost
hedge_N_count,0.003949086,9,NONE,XGBoost
avg_dependency_depth,0.0,9,NONE,XGBoost
hedge_D_count,0.0,9,NONE,XGBoost
doubt_verbs_count,0.0,9,NONE,XGBoost
doubt_adjectives_count,0.0,9,NONE,XGBoost
hedge_E_count,0.0,9,NONE,XGBoost
hedge_I_count,0.0,9,NONE,XGBoost
D_ratio,0.0,9,NONE,XGBoost
I_ratio,0.0,9,NONE,XGBoost
