target,text,stance,dataset,word_count,sentence_count,avg_word_length,std_word_length,type_token_ratio,hapax_legomena,stopword_ratio,punctuation_density,noun_ratio,verb_ratio,adj_ratio,adv_ratio,pronoun_ratio,avg_dependency_depth,function_word_ratio,punctuation_usage,readability_score,sentence_length_variation,subordinate_clause_ratio,sentiment_polarity,sentiment_subjectivity,anger,joy,fear,sadness,disgust,surprise,certainty_adverbs_count,certainty_verbs_count,certainty_adjectives_count,doubt_adverbs_count,doubt_verbs_count,doubt_adjectives_count,hedges_score,hedge_C_count,hedge_D_count,hedge_E_count,hedge_I_count,hedge_N_count,C_ratio,D_ratio,E_ratio,I_ratio,N_ratio,type,label
entertainment,"As Disney leads the race to acquire much of Twenty-First Century Fox's media empire, Britain pushes back date for f… https://t.co/tHXUWkmjSt",1,wtwt,25.0,1.0,4.8,3.4641016151377544,1.0,1.0,0.2,0.32,0.4,0.12,0.12,0.04,0.0,1.0,0.3846153846153846,0.04,11.5,0.0,0.12,0.1,0.1,0.0386600568890571,0.0240748450160026,0.0763845816254615,0.0599624849855899,0.0017592071089893,0.1585830301046371,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0
entertainment,"This is nothing new, Disney is starting a new Streaming service in 2019, another reason for the purchase of Fox’s m… https://t.co/d7W3EWFX47",1,wtwt,28.0,1.0,4.25,3.48081476504732,0.8928571428571429,0.7857142857142857,0.3214285714285714,0.25,0.3571428571428571,0.1428571428571428,0.1071428571428571,0.0,0.0,1.0,0.4230769230769231,0.0357142857142857,10.7,0.0,0.0357142857142857,0.0909090909090909,0.3363636363636363,0.0146602466702461,0.1148173883557319,0.0092473104596138,0.0096816923469305,0.0014071324840188,0.2929292321205139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0
healthcare,A behind the scenes look of the feds’ case against Aetna-Humana  https://t.co/Bkr0ffOv6I,2,wtwt,15.0,1.0,5.066666666666666,4.2184778718817,0.9333333333333332,0.8666666666666667,0.3333333333333333,0.4,0.4666666666666667,0.0666666666666666,0.0,0.0,0.0,1.0,0.375,0.0666666666666666,6.8,0.0,0.0,-0.4,0.7,0.0773267969489097,0.0332153774797916,0.6808684468269348,0.0364511162042617,0.0047906497493386,0.0344688519835472,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0
Joe Biden,"A real all star @JoeBiden is, graduating in the 26th percentile is good enough for me! When I think president of the US, its someone with impressive *checks notes* cramming abilities I want.",0,pstance,40.0,2.0,3.95,2.8631276604440816,0.875,0.75,0.375,0.175,0.25,0.175,0.075,0.025,0.1,1.0,0.4615384615384615,0.05,8.366212121212126,0.5,0.05,0.475,0.6000000000000001,0.0198285486549139,0.2748971879482269,0.0356087535619735,0.0176545269787311,0.000615164055489,0.5299347639083862,0.0,2.0,2.0,1.0,0.0,0.0,0.8088606595993042,32.0,1.0,0.0,0.0,0.0,0.9696969696969696,0.0303030303030303,0.0,0.0,0.0,test,0
healthcare,(Reuters) - Health insurer Anthem Inc is close to finalizing negotiations to acquire peer Cigna Inc and could announce a roughly $48,1,wtwt,25.0,1.0,4.44,2.9810065414218734,0.92,0.84,0.2,0.16,0.32,0.16,0.04,0.04,0.0,1.0,0.24,0.0,11.5,0.0,0.0,-0.1,0.4,0.0158264897763729,0.5418495535850525,0.0178863983601331,0.0189202632755041,0.0032028981950134,0.1324225664138794,0.0,0.0,0.0,1.0,0.0,0.0,0.9551942944526672,21.0,0.0,1.0,0.0,0.0,0.9545454545454546,0.0,0.0454545454545454,0.0,0.0,,1
entertainment,ok moment of seriousness i’m all for disney buying fox but im not really down for a 3rd resurrection of fantastic f… https://t.co/Q21vqMnxUD,2,wtwt,27.0,1.0,4.37037037037037,3.811757134894402,0.925925925925926,0.8518518518518519,0.4074074074074074,0.1851851851851851,0.4074074074074074,0.074074074074074,0.074074074074074,0.074074074074074,0.0,1.0,0.5,0.037037037037037,14.6,0.0,0.0,0.2444444444444444,0.4222222222222223,0.0143884606659412,0.456875592470169,0.0275519154965877,0.1980357617139816,0.0015067184576764,0.0892656147480011,2.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1
entertainment,Fox's talks with Disney and Comcast could yield a deal this month. Why Rupert Murdoch and his sons are ready to sell https://t.co/AUGqYPAnJK,0,wtwt,27.0,2.0,4.37037037037037,2.970822908171182,0.9629629629629628,0.925925925925926,0.3333333333333333,0.2592592592592592,0.4074074074074074,0.1111111111111111,0.037037037037037,0.0,0.037037037037037,1.0,0.44,0.074074074074074,4.2,0.5,0.037037037037037,0.2,0.5,0.0228990688920021,0.099241629242897,0.1064691096544265,0.0122490907087922,0.0013940926874056,0.2470907568931579,0.0,0.0,0.0,1.0,0.0,0.0,0.9350045919418336,22.0,0.0,1.0,0.0,0.0,0.9565217391304348,0.0,0.0434782608695652,0.0,0.0,,0
healthcare,@CNBC @chrissyfarr So does this mean CVS doesn't have to buy Aetna anymore?,0,wtwt,17.0,1.0,3.7058823529411766,2.3705225505423395,0.8823529411764706,0.7647058823529411,0.3529411764705882,0.2352941176470588,0.3529411764705882,0.2352941176470588,0.0588235294117647,0.1764705882352941,0.0,1.0,0.4666666666666667,0.0588235294117647,7.2,0.0,0.1176470588235294,-0.3125,0.6875,0.1449849158525467,0.0359121263027191,0.129738762974739,0.3247743844985962,0.0006415258394554,0.2370472252368927,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0
healthcare,BREAKING: AMA Stops Short Of Asking Regulators To Block CVS-Aetna Deal via @forbes https://t.co/Q0Vtt2kH9n @AmerMedicalAssn $CVS $AET,0,wtwt,24.0,1.0,4.875,4.216164331079455,0.875,0.75,0.0833333333333333,0.4583333333333333,0.5833333333333334,0.0416666666666666,0.0833333333333333,0.0,0.0,1.0,0.1363636363636363,0.0416666666666666,9.0,0.0,0.0416666666666666,0.0,0.3,0.1594302356243133,0.0298874359577894,0.3460189700126648,0.1947614252567291,0.0006380433915182,0.1820228993892669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1
healthcare,"Now, let's see hospitals, AMA, Aetna, Humana, BCBS there too https://t.co/rPNGza8uip",2,wtwt,19.0,1.0,3.8947368421052633,3.726077899037444,0.7894736842105263,0.7368421052631579,0.1578947368421052,0.5789473684210527,0.3157894736842105,0.0526315789473684,0.1052631578947368,0.1578947368421052,0.0,1.0,0.2941176470588235,0.0526315789473684,8.8,0.0,0.0526315789473684,0.0,0.0,0.0046053552068769,0.0233782120048999,0.0025160971563309,0.0076657896861433,0.0016690988559275,0.0367839932441711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1
