feature,p_value,significance,correct_mean,incorrect_mean,correct_mean_std,incorrect_mean_std,XGBoost_coef
function_word_ratio*,3.9121655513554554e-16,*,0.1988,0.3074,0.1988 ± 0.1195,0.3074 ± 0.1308,0.08205298334360123
stopword_ratio*,8.379741473304682e-16,*,0.1565,0.2479,0.1565 ± 0.1033,0.2479 ± 0.1104,0.07364831119775772
joy*,9.28753904354281e-05,*,0.1866,0.1112,0.1866 ± 0.1749,0.1112 ± 0.1993,0.06743616610765457
adv_ratio*,3.625188887216581e-05,*,0.0148,0.0292,0.0148 ± 0.031,0.0292 ± 0.0365,0.057368069887161255
certainty_adjectives_count,0.059971198317949156,,0.171,0.2746,0.171 ± 0.5744,0.2746 ± 0.5023,0.051491789519786835
certainty_verbs_count*,2.2878976050954056e-05,*,0.0881,0.3212,0.0881 ± 0.3785,0.3212 ± 0.6538,0.04475866258144379
sentiment_subjectivity*,0.0018088616411173707,*,0.2227,0.3226,0.2227 ± 0.3273,0.3226 ± 0.2965,0.038259685039520264
std_word_length*,2.8318311690006486e-05,*,3.917,3.5676,3.917 ± 0.7095,3.5676 ± 0.8992,0.037750206887722015
word_count*,2.647117172202849e-07,*,20.9741,26.2383,20.9741 ± 8.7425,26.2383 ± 10.8774,0.0357508547604084
type_token_ratio,0.270033923661368,,0.9111,0.9025,0.9111 ± 0.0784,0.9025 ± 0.0757,0.035495370626449585
punctuation_density*,2.104496462325106e-10,*,0.4507,0.3419,0.4507 ± 0.1611,0.3419 ± 0.1662,0.03414712846279144
disgust*,0.023237663243531652,*,0.0021,0.0182,0.0021 ± 0.003,0.0182 ± 0.098,0.03198404610157013
C_ratio,0.7443905611003787,,0.9907,0.9915,0.9907 ± 0.0238,0.9915 ± 0.0221,0.03121126815676689
sentence_length_variation*,1.807032080059157e-05,*,1.2605,2.7655,1.2605 ± 2.8437,2.7655 ± 3.8857,0.028780844062566757
noun_ratio*,9.709371202813976e-09,*,0.4907,0.4052,0.4907 ± 0.1432,0.4052 ± 0.1433,0.027780747041106224
anger*,0.002068439806569901,*,0.0683,0.1271,0.0683 ± 0.1222,0.1271 ± 0.2332,0.026737801730632782
fear*,0.010040070253001649,*,0.2465,0.3401,0.2465 ± 0.3284,0.3401 ± 0.3807,0.02648797631263733
hapax_legomena,0.2956675633012544,,0.8405,0.8263,0.8405 ± 0.1376,0.8263 ± 0.1275,0.02510005608201027
adj_ratio*,0.0026665038138229996,*,0.0463,0.0607,0.0463 ± 0.0458,0.0607 ± 0.0478,0.023208651691675186
punctuation_usage,0.8233757137755228,,0.0865,0.0851,0.0865 ± 0.0604,0.0851 ± 0.0591,0.02277810499072075
sadness,0.3646035514077677,,0.0675,0.0821,0.0675 ± 0.1451,0.0821 ± 0.1702,0.021616486832499504
hedge_C_count*,1.4736841856161988e-07,*,15.658,20.1969,15.658 ± 7.3603,20.1969 ± 9.1903,0.02119150385260582
surprise*,0.028563420868065254,*,0.1843,0.1437,0.1843 ± 0.1688,0.1437 ± 0.1934,0.020963722839951515
readability_score*,0.03326773322625016,*,10.4191,9.5627,10.4191 ± 3.8845,9.5627 ± 3.99,0.020787933841347694
sentence_count*,2.509913811366612e-09,*,1.3005,1.8653,1.3005 ± 0.6715,1.8653 ± 1.0957,0.020363450050354004
pronoun_ratio*,7.187896978680561e-09,*,0.0103,0.0297,0.0103 ± 0.0263,0.0297 ± 0.0373,0.020341593772172928
subordinate_clause_ratio*,0.0002558574596189026,*,0.0267,0.0434,0.0267 ± 0.0406,0.0434 ± 0.048,0.018627850338816643
verb_ratio*,1.5828246252176628e-05,*,0.0845,0.116,0.0845 ± 0.0681,0.116 ± 0.0737,0.0184695515781641
avg_word_length*,3.168704618839726e-05,*,5.0055,4.6443,5.0055 ± 0.8718,4.6443 ± 0.8124,0.01524780411273241
doubt_adverbs_count*,4.223319868132607e-05,*,0.1347,0.3679,0.1347 ± 0.3853,0.3679 ± 0.6804,0.007319653872400522
hedges_score,0.6232358350627059,,0.1523,0.1698,0.1523 ± 0.3438,0.1698 ± 0.3583,0.006739567033946514
sentiment_polarity,0.8250594917022595,,0.0701,0.065,0.0701 ± 0.2144,0.065 ± 0.2426,0.006102206651121378
certainty_adverbs_count*,0.01421370844772256,*,0.0518,0.1347,0.0518 ± 0.284,0.1347 ± 0.3715,
avg_dependency_depth,,,1.0,1.0,1.0 ± 0.0,1.0 ± 0.0,
doubt_adjectives_count,0.06840506280278662,,0.0933,0.1606,0.0933 ± 0.3089,0.1606 ± 0.4084,
doubt_verbs_count,0.3160448883544826,,0.0052,0.0155,0.0052 ± 0.072,0.0155 ± 0.124,
hedge_D_count,1.0,,0.0415,0.0415,0.0415 ± 0.1998,0.0415 ± 0.1998,
hedge_E_count,0.4762476376386434,,0.0933,0.0725,0.0933 ± 0.2916,0.0725 ± 0.2794,
hedge_I_count,,,0.0,0.0,0.0 ± 0.0,0.0 ± 0.0,
hedge_N_count,0.14329370185903162,,0.0363,0.0881,0.0363 ± 0.2771,0.0881 ± 0.4051,
D_ratio,0.6068989080913512,,0.0025,0.0019,0.0025 ± 0.0127,0.0019 ± 0.0095,
E_ratio,0.13257262173167572,,0.0059,0.0033,0.0059 ± 0.0195,0.0033 ± 0.0132,
I_ratio,,,0.0,0.0,0.0 ± 0.0,0.0 ± 0.0,
N_ratio*,0.04235654932872401,*,0.0009,0.0033,0.0009 ± 0.0068,0.0033 ± 0.0147,
