feature,shap_importance,iteration,stance,model
sentence_count,0.7176806538251618,1,FAVOR,Logistic Regression
punctuation_density,0.6861386011222788,1,FAVOR,Logistic Regression
fear,0.6833766649835255,1,FAVOR,Logistic Regression
avg_word_length,0.6748314497670201,1,FAVOR,Logistic Regression
pronoun_ratio,0.5448220296315025,1,FAVOR,Logistic Regression
certainty_verbs_count,0.5036936342104632,1,FAVOR,Logistic Regression
verb_ratio,0.4656641128135794,1,FAVOR,Logistic Regression
std_word_length,0.45656249652459396,1,FAVOR,Logistic Regression
sentiment_subjectivity,0.455139189921661,1,FAVOR,Logistic Regression
noun_ratio,0.42274537037989623,1,FAVOR,Logistic Regression
word_count,0.4095380474401528,1,FAVOR,Logistic Regression
anger,0.3877649843682195,1,FAVOR,Logistic Regression
hedges_score,0.3731112828278324,1,FAVOR,Logistic Regression
adv_ratio,0.3304983428714211,1,FAVOR,Logistic Regression
hapax_legomena,0.2758342266595421,1,FAVOR,Logistic Regression
sentiment_polarity,0.26569205614064273,1,FAVOR,Logistic Regression
stopword_ratio,0.2547767062764164,1,FAVOR,Logistic Regression
adj_ratio,0.25009129498720517,1,FAVOR,Logistic Regression
certainty_adverbs_count,0.2497547229298393,1,FAVOR,Logistic Regression
joy,0.2338016321806181,1,FAVOR,Logistic Regression
punctuation_usage,0.23311134255183066,1,FAVOR,Logistic Regression
sentence_length_variation,0.22632083190647595,1,FAVOR,Logistic Regression
subordinate_clause_ratio,0.19603598850559048,1,FAVOR,Logistic Regression
readability_score,0.19184758787557407,1,FAVOR,Logistic Regression
function_word_ratio,0.18097255802739964,1,FAVOR,Logistic Regression
doubt_adjectives_count,0.17275203088113728,1,FAVOR,Logistic Regression
doubt_adverbs_count,0.15809561143353912,1,FAVOR,Logistic Regression
hedge_E_count,0.12334962979174052,1,FAVOR,Logistic Regression
hedge_C_count,0.1209252636759958,1,FAVOR,Logistic Regression
N_ratio,0.11940814951131054,1,FAVOR,Logistic Regression
hedge_N_count,0.10236008023496011,1,FAVOR,Logistic Regression
hedge_D_count,0.08618473433396007,1,FAVOR,Logistic Regression
D_ratio,0.07831191929941421,1,FAVOR,Logistic Regression
E_ratio,0.07745745639121622,1,FAVOR,Logistic Regression
disgust,0.04788817693917075,1,FAVOR,Logistic Regression
certainty_adjectives_count,0.046262319376622126,1,FAVOR,Logistic Regression
type_token_ratio,0.041734982683036215,1,FAVOR,Logistic Regression
doubt_verbs_count,0.012037223083698758,1,FAVOR,Logistic Regression
surprise,0.006703271292697922,1,FAVOR,Logistic Regression
sadness,0.004847887213034717,1,FAVOR,Logistic Regression
C_ratio,0.0046106745453671355,1,FAVOR,Logistic Regression
avg_dependency_depth,0.0,1,FAVOR,Logistic Regression
hedge_I_count,0.0,1,FAVOR,Logistic Regression
I_ratio,0.0,1,FAVOR,Logistic Regression
