target,text,stance,dataset,word_count,sentence_count,avg_word_length,std_word_length,type_token_ratio,hapax_legomena,stopword_ratio,punctuation_density,noun_ratio,verb_ratio,adj_ratio,adv_ratio,pronoun_ratio,avg_dependency_depth,function_word_ratio,punctuation_usage,readability_score,sentence_length_variation,subordinate_clause_ratio,sentiment_polarity,sentiment_subjectivity,anger,joy,fear,sadness,disgust,surprise,certainty_adverbs_count,certainty_verbs_count,certainty_adjectives_count,doubt_adverbs_count,doubt_verbs_count,doubt_adjectives_count,hedges_score,hedge_C_count,hedge_D_count,hedge_E_count,hedge_I_count,hedge_N_count,C_ratio,D_ratio,E_ratio,I_ratio,N_ratio,type,label
healthcare,$CVS $AET No way in hell does the government let this go through. Why are they even wasting their time .,0,wtwt,24.0,2.0,3.5,2.0816659994661326,0.9166666666666666,0.8333333333333334,0.4166666666666667,0.1666666666666666,0.2916666666666667,0.2083333333333333,0.0,0.0416666666666666,0.0833333333333333,1.0,0.5,0.0833333333333333,2.5,2.5,0.0416666666666666,0.0,0.0,0.6791526675224304,0.0022413234692066,0.007389095146209,0.0253623537719249,0.138627603650093,0.1083529517054557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0
Donald Trump,"Up is down. Or maybe not. Depends on whether youre left or right. Dear Universe: Just send the asteroid, and lets be done with this crap. #coronavirus @realDonaldTrump #GOP",0,pstance,38.0,5.0,3.789473684210526,2.948308120875983,0.8947368421052632,0.8421052631578947,0.3421052631578947,0.2368421052631578,0.2631578947368421,0.1578947368421052,0.0526315789473684,0.1052631578947368,0.0,1.0,0.4473684210526316,0.1052631578947368,3.3547586206896547,3.919183588453085,0.0263157894736842,-0.1674603174603174,0.4061507936507936,0.0328429006040096,0.0033738482743501,0.9532250165939332,0.0032669976353645,0.0007045554812066,0.002913573756814,1.0,1.0,2.0,0.0,0.0,0.0,0.9508885741233826,27.0,0.0,1.0,1.0,0.0,0.9310344827586208,0.0,0.0344827586206896,0.0344827586206896,0.0,test,0
healthcare,"Federal Judge Rules Against Anthem, Cigna Merger https://t.co/5u7sqKFMGH #hcmktg https://t.co/NlC8yyFesV",0,wtwt,16.0,1.0,5.9375,4.669967210805661,0.875,0.75,0.0625,0.75,0.625,0.0,0.125,0.0,0.0,1.0,0.0833333333333333,0.125,10.0,0.0,0.0,0.0,0.0,0.4356164336204529,0.0675035789608955,0.4062619805335998,0.0412625297904014,0.0012272590538486,0.0288475267589092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1
healthcare,"NH joins federal suit to block Anthem-Cigna, Aetna-Humana insurer mergers - The Union Leader https://t.co/uxZN6wHz07",0,wtwt,18.0,1.0,5.666666666666667,4.203173404306164,1.0,1.0,0.1111111111111111,0.5,0.5555555555555556,0.1111111111111111,0.0555555555555555,0.0,0.0,1.0,0.1,0.0555555555555555,12.3,0.0,0.0555555555555555,0.0,0.0,0.1066304147243499,0.0233970787376165,0.0242473725229501,0.0576974637806415,0.0047801104374229,0.0921644642949104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1
Joe Biden,First TV interview with Lucy Flores on Biden accusation @CNNPolitics This gal is so full of SHIT! 1) @LucyFlores Have u looked in the mirror? U think @JoeBiden wants to smell ur hair...? 2) what took u so long if ur so bothered by it?,0,pstance,55.0,4.0,3.4545454545454546,2.5712973861329,0.8363636363636363,0.7272727272727273,0.2909090909090909,0.2181818181818181,0.3090909090909091,0.1636363636363636,0.0545454545454545,0.0909090909090909,0.0181818181818181,1.0,0.3461538461538461,0.1272727272727272,4.793055555555558,3.6996621467371855,0.0727272727272727,0.1,0.4366666666666667,0.7851308584213257,0.0030247920658439,0.1423481851816177,0.0132013745605945,0.0036636041477322,0.0484125725924968,0.0,1.0,0.0,1.0,0.0,1.0,0.9575152397155762,43.0,1.0,0.0,0.0,1.0,0.9555555555555556,0.0222222222222222,0.0,0.0,0.0222222222222222,test,1
healthcare,Express Scripts shares take big hit on news of Carl Icahn buying stake in Cigna. $ESRX https://t.co/l1CaZWhGZo https://t.co/dLcr9S1GAK,0,wtwt,24.0,2.0,4.875,4.085671099505359,0.9166666666666666,0.8333333333333334,0.125,0.5,0.5,0.0833333333333333,0.125,0.0,0.0,1.0,0.2,0.125,11.5,6.0,0.0,0.0,0.1,0.4107175171375274,0.0200263578444719,0.1273395717144012,0.2859430909156799,0.0017462677787989,0.1284333914518356,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0
Donald Trump,@FFRNNU Maybe #MSM should be talking more about this and less about flags and cakes. #SemST,0,semeval,20.0,2.0,3.8,1.8055470085267784,0.85,0.7,0.4,0.2,0.3,0.1,0.15,0.0,0.0,1.0,0.4736842105263157,0.05,6.137499999999999,7.0,0.0,0.1666666666666666,0.2833333333333333,0.1381244957447052,0.0742290392518043,0.5595868229866028,0.0867080837488174,0.0021978593431413,0.0594355203211307,1.0,0.0,0.0,1.0,0.0,0.0,0.942332923412323,15.0,0.0,1.0,0.0,0.0,0.9375,0.0,0.0625,0.0,0.0,test,0
school_closures,"@MsPicklesP @fabricationista @thehill Everyday seeing more &amp; more #NY Plates in SWFL but, as long as they keep their #Democratic &amp; #Liberal ideology away it's all good! :pray::flag_for_United_States::statue_of_liberty::family_man_woman_girl_girl::cop: #Florida #Veteran #healthcareworkers #VoteRed #VoteRedToSaveAmerica #VoteRedToSaveFreedom #OpenAmerica",0,covid,65.0,2.0,5.046153846153846,5.918499729936164,0.676923076923077,0.5538461538461539,0.1538461538461538,0.6,0.3846153846153846,0.0461538461538461,0.0615384615384615,0.0461538461538461,0.0461538461538461,1.0,0.2222222222222222,0.0153846153846153,20.90357142857143,9.5,0.0461538461538461,0.2708333333333333,0.4333333333333333,0.1009966284036636,0.1088337078690528,0.7454743981361389,0.0341788791120052,0.0004658233083318,0.0057961284182965,0.0,1.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,test,0
healthcare,Federal Judge Blocks Anthem’s Planned Acquisition of Cigna https://t.co/p7b2VhUTYQ,0,wtwt,13.0,1.0,5.6923076923076925,4.3035694555998045,1.0,1.0,0.1538461538461538,0.3846153846153846,0.7692307692307693,0.0769230769230769,0.0,0.0,0.0,1.0,0.2,0.0769230769230769,10.3,0.0,0.0,0.0,0.0,0.133190169930458,0.0228007454425096,0.0306168645620346,0.0405799597501754,0.0110909547656774,0.0905264467000961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1
Legalization of Abortion,I get several requests with petitions to save whales but never to stop the slaughter of babies in the wombs of mothers. #abortion. #SemST,0,semeval,28.0,3.0,4.071428571428571,2.534456428458596,0.8214285714285714,0.6428571428571429,0.3571428571428571,0.1428571428571428,0.3214285714285714,0.1071428571428571,0.0357142857142857,0.0357142857142857,0.0357142857142857,1.0,0.4642857142857143,0.0714285714285714,10.486666666666668,9.899494936611664,0.0357142857142857,0.0,0.0,0.0101175270974636,0.0069734840653836,0.958369255065918,0.0201621782034635,0.0014435502234846,0.0017223644535988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,test,1
healthcare,Humana $HUM falls the most in nearly 4 yrs on rpt Conn. AG is concerned about $54B Anthem-Cigna merger https://t.co/y1YIxCJGYQ @YahooFinance,0,wtwt,26.0,1.0,4.615384615384615,3.89355407225962,0.9615384615384616,0.9230769230769232,0.2307692307692307,0.3846153846153846,0.4230769230769231,0.1153846153846153,0.0384615384615384,0.0769230769230769,0.0,1.0,0.24,0.0769230769230769,8.6,0.0,0.0,0.3,0.45,0.0189481172710657,0.0022322887089103,0.9558331966400146,0.0119160814210772,0.0002846566785592,0.0057447948493063,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0
Bernie Sanders,This campaign season's already entrenched in ageism has its first victim. #BernieSanders who had heart issues and was treated while on the campaign trail yesterday take its first victim. #Bernie should abort and get behind surging @ewarren ASAP. It's over Barney,0,pstance,49.0,4.0,4.530612244897959,2.5642920080808285,0.8163265306122449,0.6530612244897959,0.3265306122448979,0.1632653061224489,0.2857142857142857,0.2040816326530612,0.0612244897959183,0.0204081632653061,0.0612244897959183,1.0,0.5,0.0612244897959183,6.539207317073171,5.356071321407137,0.0204081632653061,-0.01,0.2933333333333333,0.0063183214515447,0.0062090419232845,0.7060222029685974,0.260721892118454,0.0012073271209374,0.0132397534325718,0.0,0.0,1.0,1.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,test,1
Joe Biden,Hopefully he is licking off the residue from the pills he takes for his dementia. #JoeBiden,0,pstance,18.0,2.0,4.222222222222222,2.4845199749997664,0.8888888888888888,0.7777777777777778,0.5,0.1111111111111111,0.2222222222222222,0.1666666666666666,0.0,0.0555555555555555,0.1666666666666666,1.0,0.5,0.0555555555555555,9.087500000000002,7.0,0.0,0.0,0.0,0.3131586015224457,0.0039959312416613,0.3000881671905517,0.1152392849326133,0.1225470006465911,0.0130645418539643,1.0,0.0,0.0,0.0,0.0,0.0,0.548039436340332,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,test,1
entertainment,"MCU Phase 1, TFA and select Pixar/Disney movies are back in rotation in @netflix wonder what’s up. Is the Disney/Fox deal canceled?",0,wtwt,28.0,2.0,3.928571428571429,2.914600823300452,0.9642857142857144,0.9285714285714286,0.3214285714285714,0.2142857142857142,0.3214285714285714,0.1785714285714285,0.1071428571428571,0.0357142857142857,0.0,1.0,0.3333333333333333,0.0714285714285714,5.2,6.0,0.0714285714285714,0.0,0.0,0.0780089125037193,0.0163522642105817,0.2238626778125763,0.1613677889108657,0.0004384895437397,0.5011707544326782,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0
Climate Change is a Real Concern,Climate deniers is a term used to silence those pointing out the hypocrisy in the fanatical zeal on  #climatetruth #SemST,0,semeval,22.0,1.0,4.590909090909091,2.994830256368933,0.9090909090909092,0.8181818181818182,0.4090909090909091,0.0909090909090909,0.2727272727272727,0.1818181818181818,0.0909090909090909,0.0,0.0,1.0,0.4347826086956521,0.0,10.500000000000004,0.0,0.0454545454545454,0.0,0.0,0.2269980162382125,0.0059176278300583,0.7601447701454163,0.0042905560694634,0.0007689667982049,0.0011560613056644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,test,0
healthcare,"Anthem, Cigna Discord Could Give DOJ Edge In Merger Trial; @goodwinlaw's Andrea Murino comments https://t.co/aMTn2Zixya",0,wtwt,21.0,1.0,5.0,3.612148813050073,1.0,1.0,0.0476190476190476,0.4285714285714285,0.7619047619047619,0.0,0.0,0.0,0.0,1.0,0.2222222222222222,0.0476190476190476,12.7,0.0,0.0476190476190476,0.0,0.0,0.0507308915257453,0.331487089395523,0.0707898661494255,0.0509301126003265,0.0007598075899295,0.2133525311946869,0.0,0.0,0.0,1.0,0.0,0.0,0.9452170729637146,14.0,0.0,1.0,0.0,0.0,0.9333333333333332,0.0,0.0666666666666666,0.0,0.0,,0
Donald Trump,Obama's standards WERE ambitious. This is factual. Fossil fuel emissions ARE dangerous. This is factual. Trump's move WOULD gut the country's efforts against climate change. This is factual. What's not objective?,0,pstance,42.0,7.0,4.333333333333333,2.6246692913372702,0.6666666666666666,0.5476190476190477,0.2857142857142857,0.2619047619047619,0.3095238095238095,0.1428571428571428,0.1428571428571428,0.0238095238095238,0.0,1.0,0.4285714285714285,0.1666666666666666,6.691981566820278,2.381904571504724,0.0,-0.1166666666666666,0.5833333333333334,0.3537353873252868,0.0015503894537687,0.4429742693901062,0.0183426886796951,0.1039787977933883,0.0132259475067257,0.0,1.0,0.0,2.0,1.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,test,0
Legalization of Abortion,Those who wonder what they would have done had they lived at the time of some terrible injustice now know the answer -P. Hitchens #SemST,0,semeval,26.0,1.0,4.307692307692308,1.8557443202792028,0.9230769230769232,0.8461538461538461,0.5,0.1153846153846153,0.2307692307692307,0.2307692307692307,0.0384615384615384,0.0384615384615384,0.0769230769230769,1.0,0.5769230769230769,0.0384615384615384,9.264,0.0,0.0384615384615384,-1.0,1.0,0.0578618757426738,0.0014616680564358,0.92918860912323,0.0055897370912134,0.0010644546709954,0.0038991444744169,1.0,1.0,0.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,test,0
Bernie Sanders,MAGA Left Folks very hostile people have been in my mentions all day... They love the fight... #BernieSanders,0,pstance,21.0,2.0,4.380952380952381,2.4971639242146466,0.9523809523809524,0.9047619047619048,0.3809523809523809,0.3333333333333333,0.3809523809523809,0.1428571428571428,0.0476190476190476,0.0476190476190476,0.0952380952380952,1.0,0.3809523809523809,0.2857142857142857,2.997777777777777,4.0,0.0,0.2333333333333333,0.3,0.8399495482444763,0.0018345998832955,0.1519887447357177,0.0015342140104621,0.0020497511141002,0.0012508307117968,0.0,1.0,0.0,1.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,test,0
Legalization of Abortion,Abortionists and their supporters are the REAL misogynists! #Catholic #Christian #progressive #liberal #SemST,0,semeval,19.0,2.0,5.105263157894737,3.8647494211970144,0.7894736842105263,0.7368421052631579,0.2105263157894736,0.3157894736842105,0.3157894736842105,0.0526315789473684,0.1578947368421052,0.0,0.0526315789473684,1.0,0.2105263157894736,0.0526315789473684,11.45269230769231,1.5,0.0,0.0833333333333333,0.1333333333333333,0.0921062976121902,0.0281384196132421,0.8582009673118591,0.0154618853703141,0.0039007549639791,0.0010457440512254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,test,1
healthcare,"#Ohio Lawmakers Want Regulators to Hold Public Hearings on Aetna-Humana, Anthem-Cigna #Mergers https://t.co/Qg46lQiLcb",0,wtwt,18.0,1.0,5.888888888888889,4.520187912623999,0.9444444444444444,0.8888888888888888,0.1111111111111111,0.5555555555555556,0.5,0.1111111111111111,0.0,0.0,0.0,1.0,0.1,0.0555555555555555,15.4,0.0,0.0555555555555555,0.0,0.0666666666666666,0.2133085876703262,0.0131521085277199,0.7102823257446289,0.0330180190503597,0.0007849801913835,0.0214063264429569,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0
Donald Trump,"For the record, as a #Latino, (#Peruvian to be specific), let me state the obvious: #FuckTrump #SemST",0,semeval,27.0,1.0,3.1481481481481484,2.5488371161607786,0.7777777777777778,0.6666666666666666,0.2962962962962963,0.3703703703703703,0.2222222222222222,0.074074074074074,0.074074074074074,0.0,0.037037037037037,1.0,0.2962962962962963,0.0,10.47529411764706,0.0,0.074074074074074,0.0,0.3125,0.91078382730484,0.0013228742172941,0.0807836353778839,0.0019609769806265,0.0033546676859259,0.0007259513949975,0.0,0.0,0.0,1.0,0.0,2.0,0.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,test,1
Legalization of Abortion,Those who deny women who've been raped abortion are the same ppl who tell rape victims they asked for it. #rape #SemST,0,semeval,26.0,2.0,3.730769230769231,1.6066614287850325,0.8461538461538461,0.7307692307692307,0.4230769230769231,0.1538461538461538,0.2692307692307692,0.2692307692307692,0.0384615384615384,0.0,0.0769230769230769,1.0,0.4615384615384615,0.0384615384615384,7.471818181818183,9.0,0.0,0.0,0.125,0.0621728897094726,0.0016913857543841,0.921814739704132,0.0057458677329123,0.0068763396702706,0.0007776932325214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,test,0
