feature,p_value,significance,correct_mean,incorrect_mean,correct_mean_std,incorrect_mean_std,XGBoost_coef
sentence_count*,8.111073257751137e-06,*,1.5976,1.8496,1.5976 ± 0.9659,1.8496 ± 1.2114,0.05501048266887665
doubt_adjectives_count*,0.009602888469355541,*,0.0792,0.1214,0.0792 ± 0.2845,0.1214 ± 0.3464,0.04718730226159096
certainty_verbs_count*,0.033037610211516306,*,0.2296,0.2916,0.2296 ± 0.5293,0.2916 ± 0.6001,0.03894760087132454
C_ratio*,0.04609535352900284,*,0.9875,0.9902,0.9875 ± 0.0289,0.9902 ± 0.0248,0.038579318672418594
surprise*,0.00526546049412457,*,0.1371,0.1124,0.1371 ± 0.1772,0.1124 ± 0.1671,0.03445153310894966
sentiment_polarity,0.5250051150092696,,0.0571,0.0493,0.0571 ± 0.2495,0.0493 ± 0.2259,0.031532566994428635
stopword_ratio*,0.005324753003548447,*,0.215,0.2327,0.215 ± 0.1253,0.2327 ± 0.1224,0.03146250545978546
verb_ratio*,1.5633796874674785e-05,*,0.1058,0.1211,0.1058 ± 0.0668,0.1211 ± 0.0706,0.03004278987646103
doubt_adverbs_count*,0.004469389727431165,*,0.2203,0.2982,0.2203 ± 0.4742,0.2982 ± 0.5845,0.029943514615297318
hedges_score,0.4416733674062435,,0.175,0.1607,0.175 ± 0.3667,0.1607 ± 0.3534,0.029214616864919662
anger,0.6509268963895438,,0.136,0.1411,0.136 ± 0.2229,0.1411 ± 0.2163,0.028446059674024582
word_count*,2.126724105889041e-05,*,22.7955,25.0026,22.7955 ± 8.273,25.0026 ± 11.6014,0.02758782170712948
pronoun_ratio*,0.001289700969073496,*,0.0235,0.0304,0.0235 ± 0.0392,0.0304 ± 0.0435,0.027430454269051552
adj_ratio,0.3593845000545107,,0.0561,0.0584,0.0561 ± 0.0475,0.0584 ± 0.0494,0.026817401871085167
punctuation_density*,5.124034188884775e-06,*,0.4015,0.3598,0.4015 ± 0.1831,0.3598 ± 0.1716,0.026499733328819275
sentence_length_variation*,0.004792818936980685,*,1.8976,2.3611,1.8976 ± 2.9634,2.3611 ± 3.4104,0.026364702731370926
joy*,2.2552208921240165e-05,*,0.1218,0.0826,0.1218 ± 0.1912,0.0826 ± 0.1674,0.0252248402684927
D_ratio,0.2606074107974365,,0.0029,0.0022,0.0029 ± 0.0137,0.0022 ± 0.0107,0.025132590904831886
N_ratio,0.09390758727388523,,0.0045,0.0031,0.0045 ± 0.0187,0.0031 ± 0.0144,0.02432985231280327
type_token_ratio*,0.0014730054177253956,*,0.9147,0.9019,0.9147 ± 0.0745,0.9019 ± 0.0821,0.024192364886403084
readability_score,0.5454494658299506,,9.5193,9.3862,9.5193 ± 4.5893,9.3862 ± 3.96,0.02363315224647522
sadness,0.07238342431846671,,0.1127,0.0949,0.1127 ± 0.2104,0.0949 ± 0.175,0.023536816239356995
certainty_adjectives_count,0.47447990519693606,,0.2493,0.2309,0.2493 ± 0.529,0.2309 ± 0.4747,0.02351810410618782
disgust,0.40628417430993446,,0.0081,0.0106,0.0081 ± 0.0557,0.0106 ± 0.0624,0.023387068882584572
avg_word_length,0.16306442584061392,,4.7758,4.7133,4.7758 ± 0.8669,4.7133 ± 0.8786,0.023321541026234627
punctuation_usage,0.09763418462846894,,0.0883,0.0832,0.0883 ± 0.0613,0.0832 ± 0.0587,0.02323892153799534
fear*,7.586801235673044e-10,*,0.2662,0.3806,0.2662 ± 0.3356,0.3806 ± 0.3817,0.0229346863925457
function_word_ratio*,0.005954626494035924,*,0.2696,0.2895,0.2696 ± 0.1419,0.2895 ± 0.14,0.022677825763821602
noun_ratio*,6.680123786353696e-05,*,0.4416,0.4125,0.4416 ± 0.1358,0.4125 ± 0.1474,0.022532828152179718
hedge_C_count*,1.0621728747366773e-05,*,17.1425,18.9274,17.1425 ± 6.8413,18.9274 ± 8.7676,0.022004811093211174
subordinate_clause_ratio,0.46219466745924576,,0.0409,0.0428,0.0409 ± 0.0488,0.0428 ± 0.0474,0.021931521594524384
adv_ratio,0.0896321072585978,,0.0247,0.0281,0.0247 ± 0.0373,0.0281 ± 0.0397,0.021833447739481926
sentiment_subjectivity,0.5389234825590032,,0.2721,0.2818,0.2721 ± 0.3155,0.2818 ± 0.2997,0.021508608013391495
std_word_length*,0.02324393181812072,*,3.6635,3.5614,3.6635 ± 0.8454,3.5614 ± 0.9037,0.0205198023468256
certainty_adverbs_count,0.22873940120655475,,0.1029,0.1253,0.1029 ± 0.3634,0.1253 ± 0.3618,0.01860913634300232
hapax_legomena*,0.005414325045716525,*,0.8475,0.8291,0.8475 ± 0.1239,0.8291 ± 0.132,0.018542489036917686
doubt_verbs_count,1.0,,0.0185,0.0185,0.0185 ± 0.1347,0.0185 ± 0.1347,0.009913590736687183
E_ratio,0.4157904549436554,,0.0049,0.0042,0.0049 ± 0.018,0.0042 ± 0.0165,0.007957647554576397
avg_dependency_depth,,,1.0,1.0,1.0 ± 0.0,1.0 ± 0.0,
hedge_D_count,0.2345316151985086,,0.0607,0.0449,0.0607 ± 0.3024,0.0449 ± 0.2071,
hedge_N_count,0.3259466939838426,,0.095,0.0765,0.095 ± 0.3797,0.0765 ± 0.3516,
hedge_I_count,0.3452201818592523,,0.004,0.0092,0.004 ± 0.0628,0.0092 ± 0.1405,
hedge_E_count,0.6474341332681877,,0.0831,0.0765,0.0831 ± 0.2856,0.0765 ± 0.2758,
I_ratio,0.583029033231192,,0.0002,0.0003,0.0002 ± 0.0029,0.0003 ± 0.0046,
