feature,Logistic Regression,XGBoost,correct_mean_std,incorrect_mean_std
C_ratio*,-0.5157808901422257,0.013558248989284039,0.9865 ± 0.0305,0.9913 ± 0.0234
D_ratio,-0.009188144019993528,0.0,0.0022 ± 0.0113,0.0022 ± 0.0115
E_ratio,0.14641138221215202,0.08050830662250519,0.0052 ± 0.0186,0.0049 ± 0.0182
I_ratio,0.5203069023973343,0.0,0.0006 ± 0.0056,0.0002 ± 0.0033
N_ratio*,0.6550842333999466,0.0,0.0054 ± 0.0203,0.0014 ± 0.0094
adj_ratio,0.3521282676434039,0.012161541730165482,0.059 ± 0.0469,0.054 ± 0.0503
adv_ratio*,0.23280748300017107,0.007496966980397701,0.0314 ± 0.04,0.0202 ± 0.0332
anger,0.021285789534247805,0.021135536953806877,0.0998 ± 0.2023,0.131 ± 0.2082
avg_dependency_depth,0.0,0.0,1.0 ± 0.0,1.0 ± 0.0
avg_word_length*,-1.4465492503447646,0.03147760406136513,4.5324 ± 0.6869,4.9631 ± 0.903
certainty_adjectives_count*,0.1794184301573454,0.04028245061635971,0.2879 ± 0.5352,0.13 ± 0.3548
certainty_adverbs_count*,0.09297803148843377,0.0,0.2043 ± 0.4875,0.0898 ± 0.297
certainty_verbs_count*,0.23645290135270147,0.008724614046514034,0.2941 ± 0.5712,0.195 ± 0.4619
disgust,0.10462135516205572,0.020279215648770332,0.0137 ± 0.0635,0.0076 ± 0.0531
doubt_adjectives_count,-0.21256865851763113,0.034503720700740814,0.0867 ± 0.2926,0.1084 ± 0.3211
doubt_adverbs_count,-0.0977552814665063,0.005358691327273846,0.2508 ± 0.4816,0.2136 ± 0.493
doubt_verbs_count*,0.11114640751093993,0.11243865638971329,0.0433 ± 0.2039,0.0124 ± 0.1108
fear*,-0.2954230465112651,0.06046242639422417,0.1761 ± 0.2948,0.3527 ± 0.3803
function_word_ratio*,0.6872232338752822,0.044488947838544846,0.3201 ± 0.1381,0.2432 ± 0.1332
hapax_legomena,0.51724157040142,0.025897331535816193,0.8501 ± 0.1195,0.8478 ± 0.1352
hedge_C_count*,0.5805791297099447,0.0226957555860281,17.7523 ± 4.3618,16.7307 ± 7.3382
hedge_D_count,-0.043002757766751304,0.0,0.0433 ± 0.2186,0.0433 ± 0.2039
hedge_E_count,-0.23810710463369908,0.0,0.0898 ± 0.297,0.0805 ± 0.2725
hedge_I_count,-0.4572962156503364,0.0,0.0124 ± 0.1108,0.0093 ± 0.1669
hedge_N_count*,-0.621634292002262,0.07696995139122009,0.1053 ± 0.3797,0.0372 ± 0.2464
hedges_score,-0.301234545806739,0.005844749044626951,0.1871 ± 0.3746,0.1444 ± 0.3387
joy*,0.2849478447897933,0.016093701124191284,0.1367 ± 0.2154,0.0775 ± 0.1376
noun_ratio*,0.7917997844406865,0.028447819873690605,0.4342 ± 0.1244,0.4568 ± 0.1498
pronoun_ratio*,0.07226938175376112,0.025686122477054596,0.0323 ± 0.0398,0.0201 ± 0.0371
punctuation_density*,0.08075097557654426,0.011800967156887054,0.3544 ± 0.1685,0.4071 ± 0.1681
punctuation_usage,0.2852234380343869,0.014248877763748169,0.0852 ± 0.0654,0.084 ± 0.0569
readability_score*,0.06363628115754949,0.01315541286021471,8.6805 ± 3.5084,9.938 ± 3.9033
sadness,0.22777772357016762,0.008608824573457241,0.1182 ± 0.2175,0.0984 ± 0.1787
sentence_count,-0.24205364324163212,0.03947579488158226,1.5975 ± 0.8699,1.582 ± 1.1237
sentence_length_variation,-0.030763170308663268,0.013909958302974701,1.82 ± 2.6331,1.6253 ± 2.9837
sentiment_polarity*,0.1060349853536574,0.0353626124560833,0.0861 ± 0.2848,0.0299 ± 0.1967
sentiment_subjectivity*,0.1730104444731345,0.022636795416474342,0.3459 ± 0.3338,0.2353 ± 0.3094
std_word_length*,0.6874887428854994,0.022417571395635605,3.4868 ± 0.7946,3.777 ± 0.8245
stopword_ratio*,0.18243463523268919,0.018515555188059807,0.2533 ± 0.1195,0.1937 ± 0.119
subordinate_clause_ratio,0.06369555259005433,0.009762655943632126,0.0436 ± 0.0512,0.0384 ± 0.047
surprise*,-0.022099502108777175,0.018466483801603317,0.1897 ± 0.2235,0.1193 ± 0.1575
type_token_ratio,-0.435630467127276,0.01763717457652092,0.9147 ± 0.0743,0.9132 ± 0.0846
verb_ratio,-0.178432848105727,0.021163074299693108,0.1092 ± 0.067,0.1131 ± 0.0735
word_count,-0.7157667207597542,0.03832584246993065,23.2693 ± 5.1171,22.6161 ± 11.4662
