feature,Logistic Regression,XGBoost,correct_mean_std,incorrect_mean_std
C_ratio,-0.09967592101327744,0.0,0.9919 ± 0.0224,0.9915 ± 0.0221
D_ratio,0.39222191388576355,0.0,0.0015 ± 0.0102,0.0019 ± 0.0095
E_ratio,-0.07948058487068757,0.05361531302332878,0.0058 ± 0.0198,0.0033 ± 0.0132
I_ratio,0.13196711454119614,0.0,0.0007 ± 0.006,0.0 ± 0.0
N_ratio*,-0.020404895183075786,0.0,0.0 ± 0.0,0.0033 ± 0.0147
adj_ratio*,-0.4381171328487913,0.016653887927532196,0.0457 ± 0.0483,0.0607 ± 0.0478
adv_ratio*,-0.09660840903153592,0.0,0.0122 ± 0.025,0.0292 ± 0.0365
anger*,-1.1959463844289224,0.023858482018113136,0.0391 ± 0.0578,0.1271 ± 0.2332
avg_dependency_depth,0.0,0.0,1.0 ± 0.0,1.0 ± 0.0
avg_word_length*,0.10018046786661755,0.02729114703834057,5.2115 ± 0.8961,4.6443 ± 0.8124
certainty_adjectives_count*,0.08729498493851238,0.0,0.1069 ± 0.3773,0.2746 ± 0.5023
certainty_adverbs_count*,-1.187996968873471,0.0,0.0076 ± 0.0874,0.1347 ± 0.3715
certainty_verbs_count*,-1.0993578081329323,0.037704337388277054,0.0153 ± 0.1231,0.3212 ± 0.6538
disgust,-0.3358082945237178,0.03832609951496124,0.0021 ± 0.0022,0.0182 ± 0.098
doubt_adjectives_count*,-0.2704465921931148,0.0,0.0611 ± 0.2404,0.1606 ± 0.4084
doubt_adverbs_count*,-1.3229885548370484,0.024483991786837578,0.0534 ± 0.2258,0.3679 ± 0.6804
doubt_verbs_count,0.07850576917400352,0.0,0.0153 ± 0.1231,0.0155 ± 0.124
fear*,0.07555987763566967,0.026432814076542854,0.2057 ± 0.2947,0.3401 ± 0.3807
function_word_ratio*,-0.8667676302186168,0.18904483318328857,0.1816 ± 0.093,0.3074 ± 0.1308
hapax_legomena*,-0.5998160112415215,0.004522515926510096,0.8571 ± 0.1386,0.8263 ± 0.1275
hedge_C_count*,0.05153453830551994,0.06057913973927498,14.2672 ± 3.8667,20.1969 ± 9.1903
hedge_D_count,-0.07733217717790206,0.0,0.0229 ± 0.1502,0.0415 ± 0.1998
hedge_E_count,0.6765643151132444,0.0,0.0916 ± 0.315,0.0725 ± 0.2794
hedge_I_count,0.131967114541196,0.0,0.0153 ± 0.1231,0.0 ± 0.0
hedge_N_count*,-0.0153874246442389,0.0,0.0 ± 0.0,0.0881 ± 0.4051
hedges_score,-0.1371266116221835,8.219572191592306e-05,0.1191 ± 0.312,0.1698 ± 0.3583
joy*,0.12908486559674642,0.06436894834041595,0.2347 ± 0.1922,0.1112 ± 0.1993
noun_ratio*,-0.9800038101187382,0.019283024594187737,0.5115 ± 0.1286,0.4052 ± 0.1433
pronoun_ratio*,-0.9541920885997509,0.06385268270969391,0.005 ± 0.0174,0.0297 ± 0.0373
punctuation_density*,-0.18992911659389805,0.03110264241695404,0.4712 ± 0.1451,0.3419 ± 0.1662
punctuation_usage,-0.065174097588018,0.008995027281343937,0.0884 ± 0.0594,0.0851 ± 0.0591
readability_score*,-0.24584175368192088,0.020124681293964386,11.2664 ± 3.8105,9.5627 ± 3.99
sadness*,-0.41370316700075277,0.022090621292591095,0.0455 ± 0.0696,0.0821 ± 0.1702
sentence_count*,-1.2498485938381823,0.03032863885164261,1.1374 ± 0.3876,1.8653 ± 1.0957
sentence_length_variation*,0.3418710927288248,0.023380707949399948,0.5866 ± 1.7712,2.7655 ± 3.8857
sentiment_polarity,0.13582291518379935,0.07041137665510178,0.0679 ± 0.2052,0.065 ± 0.2426
sentiment_subjectivity*,0.08249848014226288,0.018406346440315247,0.1793 ± 0.3087,0.3226 ± 0.2965
std_word_length*,0.26190456551975944,0.01661856286227703,4.0846 ± 0.5613,3.5676 ± 0.8992
stopword_ratio*,-0.7702735561065236,0.031488072127103806,0.1395 ± 0.0813,0.2479 ± 0.1104
subordinate_clause_ratio*,-0.04681644512908711,0.01500764861702919,0.0284 ± 0.0435,0.0434 ± 0.048
surprise*,-0.07084305661791865,0.0113875363022089,0.2014 ± 0.1413,0.1437 ± 0.1934
type_token_ratio*,0.8876601472169943,0.01097540557384491,0.9219 ± 0.0794,0.9025 ± 0.0757
verb_ratio*,0.06712176774613607,0.01838909648358822,0.0797 ± 0.0571,0.116 ± 0.0737
word_count*,-0.46087162188993647,0.02119414508342743,19.5115 ± 5.1819,26.2383 ± 10.8774
