feature,shap_importance,iteration,stance,model
joy,1.3691828,4,FAVOR,XGBoost
stopword_ratio,0.8706541,4,FAVOR,XGBoost
function_word_ratio,0.82592726,4,FAVOR,XGBoost
sadness,0.65020305,4,FAVOR,XGBoost
noun_ratio,0.52025914,4,FAVOR,XGBoost
fear,0.48654076,4,FAVOR,XGBoost
anger,0.48521182,4,FAVOR,XGBoost
avg_word_length,0.48045835,4,FAVOR,XGBoost
punctuation_usage,0.37726772,4,FAVOR,XGBoost
adj_ratio,0.3462672,4,FAVOR,XGBoost
hedge_C_count,0.29112467,4,FAVOR,XGBoost
subordinate_clause_ratio,0.2454849,4,FAVOR,XGBoost
disgust,0.22036234,4,FAVOR,XGBoost
sentence_length_variation,0.21126488,4,FAVOR,XGBoost
sentence_count,0.1822261,4,FAVOR,XGBoost
pronoun_ratio,0.15777838,4,FAVOR,XGBoost
type_token_ratio,0.15272355,4,FAVOR,XGBoost
verb_ratio,0.13506027,4,FAVOR,XGBoost
surprise,0.09581034,4,FAVOR,XGBoost
punctuation_density,0.095011644,4,FAVOR,XGBoost
C_ratio,0.09426298,4,FAVOR,XGBoost
readability_score,0.0934268,4,FAVOR,XGBoost
word_count,0.09202922,4,FAVOR,XGBoost
sentiment_subjectivity,0.09083957,4,FAVOR,XGBoost
std_word_length,0.07815472,4,FAVOR,XGBoost
doubt_adverbs_count,0.07619854,4,FAVOR,XGBoost
certainty_verbs_count,0.0649345,4,FAVOR,XGBoost
hedges_score,0.042867947,4,FAVOR,XGBoost
adv_ratio,0.0407171,4,FAVOR,XGBoost
hapax_legomena,0.037287597,4,FAVOR,XGBoost
certainty_adjectives_count,0.022946967,4,FAVOR,XGBoost
avg_dependency_depth,0.0,4,FAVOR,XGBoost
certainty_adverbs_count,0.0,4,FAVOR,XGBoost
sentiment_polarity,0.0,4,FAVOR,XGBoost
doubt_adjectives_count,0.0,4,FAVOR,XGBoost
doubt_verbs_count,0.0,4,FAVOR,XGBoost
hedge_D_count,0.0,4,FAVOR,XGBoost
hedge_E_count,0.0,4,FAVOR,XGBoost
hedge_I_count,0.0,4,FAVOR,XGBoost
hedge_N_count,0.0,4,FAVOR,XGBoost
D_ratio,0.0,4,FAVOR,XGBoost
E_ratio,0.0,4,FAVOR,XGBoost
I_ratio,0.0,4,FAVOR,XGBoost
N_ratio,0.0,4,FAVOR,XGBoost
