target,text,stance,word_count,sentence_count,avg_word_length,std_word_length,type_token_ratio,hapax_legomena,stopword_ratio,punctuation_density,noun_ratio,verb_ratio,adj_ratio,adv_ratio,pronoun_ratio,avg_dependency_depth,function_word_ratio,punctuation_usage,readability_score,sentence_length_variation,subordinate_clause_ratio,sentiment_polarity,sentiment_subjectivity,anger,joy,fear,sadness,disgust,surprise,certainty_adverbs_count,certainty_verbs_count,certainty_adjectives_count,doubt_adverbs_count,doubt_verbs_count,doubt_adjectives_count,hedges_score,hedge_C_count,hedge_D_count,hedge_E_count,hedge_I_count,hedge_N_count,C_ratio,D_ratio,E_ratio,I_ratio,N_ratio
Legalization of Abortion,Those who deny women who've been raped abortion are the same ppl who tell rape victims they asked for it. #rape #SemST,0,26.0,2.0,3.730769230769231,1.6066614287850325,0.8461538461538461,0.7307692307692307,0.4230769230769231,0.15384615384615385,0.2692307692307692,0.2692307692307692,0.038461538461538464,0.0,0.07692307692307693,1.0,0.46153846153846156,0.038461538461538464,7.2,9.0,0.0,0.0,0.125,0.06217261403799057,0.001691384008154273,0.921815037727356,0.005745856557041407,0.006876296363770962,0.0007776916027069092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Legalization of Abortion,I am about to deck these 2 bitches in the fucking mouth.  #1A #2A #NRA #COS #CCOT #TGDN #PJNET  #WAKEUPAMERICA #SemST,0,31.0,2.0,3.064516129032258,2.589500934243804,0.7419354838709677,0.7096774193548387,0.22580645161290322,0.3225806451612903,0.3225806451612903,0.06451612903225806,0.0,0.0,0.03225806451612903,1.0,0.21212121212121213,0.03225806451612903,3.8,1.5,0.03225806451612903,-0.6,0.8,0.05139300599694252,0.007776123937219381,0.9346859455108643,0.003655421081930399,0.0005000134697183967,0.0013663970166817307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Legalization of Abortion,"Why would I want to make choices about my own body, when a congressman could do it for me?  #ConversationsWithAlex #SemST",0,25.0,2.0,4.0,4.13763217311544,0.96,0.92,0.48,0.16,0.2,0.12,0.04,0.0,0.16,1.0,0.5769230769230769,0.04,9.1,8.5,0.08,0.6,1.0,0.046097297221422195,0.011369575746357441,0.9324208498001099,0.00694887014105916,0.00046249321894720197,0.0021239465568214655,0.0,1.0,0.0,2.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1.0,0.9523809523809523,0.0,0.0,0.0,0.047619047619047616
Legalization of Abortion,"@nytimes while you are at it, eliminate all drugs, cars, planes, food, electricity, and anything else that MAY cause a death. #SemST",2,31.0,2.0,3.5806451612903225,2.5749938120613045,0.8387096774193549,0.8064516129032258,0.2903225806451613,0.2903225806451613,0.3548387096774194,0.0967741935483871,0.0,0.03225806451612903,0.06451612903225806,1.0,0.4,0.03225806451612903,8.3,10.0,0.06451612903225806,0.0,0.0,0.03920452669262886,0.004567115101963282,0.9285809397697449,0.016279447823762894,0.0002702603815123439,0.0077882446348667145,0.0,0.0,0.0,1.0,0.0,0.0,0.9619375467300415,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Legalization of Abortion,89% of abortions occur at the 12th week or before #letstalkabortion #SemST,2,15.0,1.0,4.2,3.8157568056677826,0.9333333333333333,0.8666666666666667,0.3333333333333333,0.2,0.3333333333333333,0.06666666666666667,0.0,0.06666666666666667,0.0,1.0,0.3333333333333333,0.0,8.0,0.0,0.0,0.0,0.0,0.00965852104127407,0.006609591189771891,0.9461205005645752,0.02624109387397766,0.00032277536229230464,0.008386056870222092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Legalization of Abortion,1.2% of abortions happen at 21 weeks+  (these are only exceptions) #letstalkabortion #SemST,2,18.0,1.0,4.333333333333333,3.8873012632302,0.9444444444444444,0.8888888888888888,0.2777777777777778,0.3888888888888889,0.3333333333333333,0.1111111111111111,0.0,0.05555555555555555,0.0,1.0,0.2631578947368421,0.05555555555555555,9.5,0.0,0.05555555555555555,0.0,1.0,0.03976254165172577,0.03814193978905678,0.8665054440498352,0.03653068467974663,0.0004694988310802728,0.01105342898517847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Legalization of Abortion,Those who wonder what they would have done had they lived at the time of some terrible injustice now know the answer -P. Hitchens #SemST,0,26.0,1.0,4.3076923076923075,1.8557443202792028,0.9230769230769231,0.8461538461538461,0.5,0.11538461538461539,0.23076923076923078,0.23076923076923078,0.038461538461538464,0.038461538461538464,0.07692307692307693,1.0,0.5769230769230769,0.038461538461538464,8.3,0.0,0.038461538461538464,-1.0,1.0,0.05786167457699776,0.001461670850403607,0.9291889071464539,0.005589725449681282,0.0010644544381648302,0.0038991456385701895,1.0,1.0,0.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Legalization of Abortion,@VeronicaCoffin @Fingersflying the irony of Margaret Sanger wanting to rid the world of blacks. #SemST,0,19.0,2.0,4.631578947368421,3.702211662119784,0.8421052631578947,0.6842105263157895,0.2631578947368421,0.21052631578947367,0.42105263157894735,0.15789473684210525,0.05263157894736842,0.0,0.0,1.0,0.29411764705882354,0.05263157894736842,9.1,6.5,0.05263157894736842,0.0,0.0,0.5412865281105042,0.15505309402942657,0.2252947837114334,0.05615992471575737,0.0015716846100986004,0.013953124172985554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Legalization of Abortion,I hope you all either enjoy the rugby or enjoy not enjoying the rugby #SemST,0,16.0,1.0,3.875,1.79843682124227,0.8125,0.625,0.4375,0.0625,0.1875,0.25,0.0,0.0625,0.125,1.0,0.5,0.0,8.0,0.0,0.125,0.18333333333333335,0.5333333333333333,0.0033218306489288807,0.9546557664871216,0.0019126846455037594,0.012788972817361355,0.000416096969274804,0.004495544824749231,0.0,1.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Legalization of Abortion,@Independent_ie No one has 5he right to tell any person what they should do with their body #SemST,0,20.0,1.0,4.05,2.692118125194361,1.0,1.0,0.5,0.15,0.35,0.15,0.05,0.0,0.1,1.0,0.5789473684210527,0.0,6.8,0.0,0.05,0.2857142857142857,0.5357142857142857,0.31463009119033813,0.01140161044895649,0.6470872163772583,0.017154494300484657,0.0007309543434530497,0.005806863773614168,0.0,1.0,0.0,1.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Legalization of Abortion,"@MikeDury And don't forget, now ""Private clubs"" and organizations. AKA ~> #GirlScouts & #SemST",0,23.0,2.0,3.608695652173913,3.1860992974889144,0.9565217391304348,0.9130434782608695,0.17391304347826086,0.4782608695652174,0.34782608695652173,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.0,1.0,0.22727272727272727,0.043478260869565216,5.6,2.0,0.0,0.0,0.375,0.032315850257873535,0.02609027922153473,0.8811199069023132,0.02755175158381462,0.000543172296602279,0.015222536399960518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Legalization of Abortion,This #rally4life shit! How people support it I'll never understand. #SemST,0,16.0,3.0,4.0,2.9368350311176825,0.9375,0.875,0.25,0.3125,0.25,0.125,0.0,0.0625,0.125,1.0,0.375,0.125,4.3,2.494438257849294,0.0625,-0.25,0.8,0.6525304913520813,0.0026935243513435125,0.31191733479499817,0.011328616179525852,0.010356463491916656,0.00979666505008936,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Legalization of Abortion,The #rally4life  shows yet again what little support these people have.  #repealthe8th #SemST,0,17.0,2.0,4.647058823529412,2.9890225919794116,0.8823529411764706,0.8235294117647058,0.29411764705882354,0.23529411764705882,0.29411764705882354,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.0,1.0,0.3157894736842105,0.058823529411764705,6.0,4.5,0.058823529411764705,-0.1875,0.5,0.18340933322906494,0.03128395602107048,0.6364004015922546,0.1357707679271698,0.0008177509298548102,0.009207739494740963,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Legalization of Abortion,CPCs in this town of 5000: 2. #goddamn #SemST,0,13.0,2.0,2.8461538461538463,1.8747780933775293,0.9230769230769231,0.8461538461538461,0.23076923076923078,0.3076923076923077,0.23076923076923078,0.0,0.07692307692307693,0.0,0.0,1.0,0.23076923076923078,0.07692307692307693,0.9,2.5,0.0,0.0,0.0,0.9838461875915527,0.0016106570838019252,0.007075377739965916,0.002058408223092556,0.003779008286073804,0.001147037255577743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
