target,text,stance
Atheism,In other related news. Boko Haram has killed over 200 people in the last 48hrs. #SemST,2
Atheism,Yeah I think maybe words just stopped mattering #SemST,2
Atheism,Best feeling is when you think you can't do it but you did! #Will #SemST,2
Atheism,@BJPScams @ANI_news Elections were nearing in Bihar / UP / TN so he may be so sickularism sorry #SemST,2
Atheism,@Pseud0_Anon @SuhaibSaqib1 very true. Raising awareness and compassion is our goal. #SemST,2
Atheism,I think my username would be cool but now it looks stupid. #SemST,2
Climate Change is a Real Concern,@soundofideas we Have to talk about new normals #SemST,2
Climate Change is a Real Concern,@TheWayneKing @RickSantorum @hardball @hardball_chris What values is heUsing ref criminal safety checks for weaponsAddressing #SemST,2
Climate Change is a Real Concern,It's most exciting to witness a major development! @urgenda #SemST,2
Climate Change is a Real Concern,"@ChadCowie Indigenous ppl will save the country, if it's not too late. #SemST",2
Climate Change is a Real Concern,Our cardboard city with @Joshpaulevans from @TearfundRhythms in our @cscw_uk youth club on Monday. #SemST,2
Climate Change is a Real Concern,"Lot's of time, class over! @nationaljournal #SemST",2
Climate Change is a Real Concern,@TheLibertyEagle Oh for the love of Pete! I thought we were going to be incinerated by then! #SemST,2
Climate Change is a Real Concern,If complaining about irrelevant problems were illegal maybe we could solve some of the important issues #itsjustaflag #SemST,2
Feminist Movement,@mustangALLIE_ and i was agreeing with ur tweet #SemST,2
Feminist Movement,@NuuYawkerr I have a solution kill all of us... #SemST,2
Feminist Movement,last RT demonstrates relevance of preceding RTs #SemST,2
Feminist Movement,YO @kaitlynbristowe YOU GET YOURS GIRL.     #TheBachelorette #SemST,2
Feminist Movement,@Deb_Hitchens @JudgeBambi . There's no capacity for discourse when you assume ppl are your enemy. Hate. Misery. Paranoia. A waste. #SemST,2
Feminist Movement,@saltwaterpop I like your attitude a lot tho #SemST,2
Feminist Movement,@NAFEDUDE @TakedownMRAs It's never a problem until it happens to you =) #SemST,2
Feminist Movement,"@OliveStuff @douchefuck @redheadtart @nascar_jesus mice are intelligent animals, and should not be mocked #SemST",2
Feminist Movement,"There really are days when I'm ashamed to admit I share gene's with some people, today is one of those days. #SemST",2
Feminist Movement,#GamerGate tag is about games Other things? They have their own tags: #SJWlogic #SaveTheCover #ShirtStorm #SemST,2
Feminist Movement,@Paula0422 btw if you like Chris Brown I WILL SET YOU TO FLAMES WITH MY SPARK FARTS! #rhianna #SemST,2
Feminist Movement,"Tomorrow, we gone see think pieces on @KeyAndPeele 's pirate skit. #wesayyoho #butwedontsayho #cuzhoisdisrespectfulyo #kinda #SemST",2
Hillary Clinton,RT @CattyHipster: Live today like it's your last day. But pay bills and dress appropriately just in case it isn't. #420 #SemST,2
Hillary Clinton,@tiffiwestcott  I got mine and I love it. #SemST,2
Hillary Clinton,I dislike our idiots as much as I dislike theirs. #SemST,2
Hillary Clinton,@AdamSmith_USA Nice video. GOOD Luck WITH it. #SemST,2
Hillary Clinton,@JedediahBila u must be counting the lies like sheep ..... #SemST,2
Hillary Clinton,.@thedailybeast such a waste of space #CrackingCeilings #SemST,2
Hillary Clinton,@csham21 @EstadodeSats Thank you so much for supportive #Freedom4Cuba RTs! #WakeUpAmerica #Cuba #TodosMarchamos #SemST,2
Hillary Clinton,"@churstauthor Thanks for the follow Charles, may God bless you and your family !  #freeallfour #SemST",2
Hillary Clinton,@TajMagruder  Facetious much? Had me going there. #SemST,2
Hillary Clinton,It bugs me when some people seek to invalidate centrist Democrats. I prefer a bigger tent. #SemST,2
Hillary Clinton,The rebel flag flew off the pole & pulled trigger on gun that fired by itself  liberal dementia growing  daily #2a #rebelflag #SemST,2
Hillary Clinton,"@billodoux Thanks for the follow, that his by far the cutest avatar I have seen, God bless you all ! #freealfour #SemST",2
Hillary Clinton,@BadgerGeno @kreichert27 @jackbahlman Too busy protesting :) #LoveForAll #BackdoorBadgers #SemST,2
Hillary Clinton,@mataharikrishna I'm loving it too! Draw that contrast!!! #SemST,2
Legalization of Abortion,it's not that i don't want to be at work. it's that i rather be asleep. #SemST,2
Legalization of Abortion,Like how can you sit there and even go through with the process #SemST,2
Legalization of Abortion,@BaronTrader @DynaMoChen  Margret Sangers Looking a little rough!!!! #SemST,2
Legalization of Abortion,Today is a great because we are alive. #SemST,2
Legalization of Abortion,Just been having rather horrible discussion with @Tim_Hallan - reminder that we have a long way to go. #HumanRights #healthcare #SemST,2
Legalization of Abortion,"@paradiselost_17 @ArguDaz @Brainman365 @PolarVan @yetigcreature Yes, an occasional hypocrite. I support #MarriageEquaility & abhor #SemST",2
Legalization of Abortion,@knowj @kalenjordan @benmarks @MageTalk not ashamed to say it's me. I'm not in favor of enc itself as not banning enc modules. #SemST,2
Legalization of Abortion,Obama Administration sends 5.6 million dollars to #SemST,2
Legalization of Abortion,@ShowTruth Get out of my city. #ygk #SemST,2
Legalization of Abortion,@marcmaron @amyschumer @JuddApatow Are you a triceratops or tricerabottom? #arethosehornsyourewearing #SemST,2
Legalization of Abortion,.@JohnTory since when did Toronto become a weak city? Bullied by stone-age cab companies that block traffic illegally. #TO4Uber #SemST,2
Legalization of Abortion,#HDR - top set up in the Warm up area @HuddsCriterium ... Chilling and chatting with @GabzCullaigh before the racing. #Topriders #SemST,2
Legalization of Abortion,So the #Democrats tore down their OWN #ConfederateFlag NOW if they get rid of THEIR #KKK #blackpanthers #alsharpton #hate #SemST,2
Legalization of Abortion,@ShowTruth You're truly unwelcome here. Please leave.  #ygk #SemST,2
Legalization of Abortion,@gaz_dance I'm good like this. I've always been #SemST,2
Donald Trump,@gerfingerpoken2 @tomgreen1959 Of course he did. Traitors conspire with #traitors #ImpeachObama #SemST,2
Donald Trump,"@RMConservative @DagnyRed ,P.C. is out of control,stop being offended ,we are a country of free thinkers,#1A #SemST",2
Donald Trump,"I love it when #conservatives say #government is #tyranny and out to get us, then in D next sentence say #SupportOurTroops : #SemST",2
Donald Trump,"@veriphile; Just Curious, Do You Follow @Montel_Williams? #SemST",2
Donald Trump,@DrakeKing15your gay agenda will be met with the wrath of god #SemST,2
Donald Trump,@Jewtantandproud @TookyMonster the new and cool meme is to post a video of you eating a banana. I will if you will! #bananavideo #SemST,2
Donald Trump,If you condone the #SupremeCourt's decision on the marriage issue! You might be a liberal!!  #SemST,2
Donald Trump,@GinnyQuaglia well the rest of the majority had better get off their asses and get involved in this fight. #SemST,2
Donald Trump,"@ericbolling ""I'm suffering from a severe case of racial fatigue. #SemST",2
Donald Trump,@RNRLouisiana @willie_mays24 @RNROklahoma  THIS kind of open defiance is what is needed but on a massive scale #tcot #LNYHBT #SemST,2
Donald Trump,@10thAmendment  Funny. Visited by Muslims on  Christmas Eve last year. #SemST,2
fauci,"""I am cautiously optimistic we can bring that model down from 100,000 to 200,000 projected deaths."" -#DrFauci  

#taskforcebriefing #CoronavirusUSA",2
fauci,@TNSociallyMissy Nope,2
fauci,@TX_WalkerRanger Yes. Since the beginning.,2
fauci,@realDonaldTrump America sees right through you MORON #TrumpVirus2020,2
fauci,"Question for you @realDonaldTrump @POTUS #DrFauci #DrBirx - Jeri Goldman stated she never contracted #COVID19 even though her husband, Carl, did. She stated that her O+ blood was sent for testing. Is there evidence that people with O+ blood are naturally immune to #COVID19?",2
fauci,"@LionelMedia @RhondaTideGirl It’s like a junior burka. 
#coronavirus",2
fauci,"@SenWarren asks #DrFauci: Is the country still ""moving in the right direction"" regarding #coronavirus?
#Senate #Senatehearing #COVID19",2
fauci,"Director of the NIH, Dr. Fauci, has projected that 60,000 Americans could die from the coronavirus. Although startling, this number is a lot more hopeful than the previously projected 100,000-200,000. #CoronavirusUSA #DrFauci #COVIDー19",2
fauci,@yoadriennetx @happyti47693534 @dallasnews Liberals have an agenda.,2
fauci,@w_terrence Needs to be fired,2
fauci,"@ChrisCuomo I saw that Speaker Pelosi referred to COVID-19 as the “Trump Virus”. From where I sit, and considering the lack of action, I actually term it more as the Trumpdemic! #Trumpdemic #LetsGetAfterIt",2
fauci,@BusyDrT Please doubt yourself right out of the way,2
fauci,@TeamTrump @realDonaldTrump @kayleighmcenany Glad I’ve got boots on!! Sh*ts getting DEEP!!  #TrumpIsAnIdiot #TrumpIsARacist #TrumpVirus #TrumpGolfsAmericansDie,2
fauci,@DoniTheDon_ About damn time.,2
fauci,@realDonaldTrump DUMP TRUMP! #NoMoreMasks #Covidiots,2
fauci,@ChloeSalsameda @Keefer1958 But time to,2
stay_at_home_orders,:notes::arrow_forward:No limit @G_Eazy @asvpxrocky @iamcardib On #Totorimuzik @Djitchyfingazz #spinning:repeat_one: LISTENLIVEON #OURAPPONPLAYSTORE AND #WEBSITEONBIO,2
stay_at_home_orders,:notes::arrow_forward:Got to get it @OfficialSisQo     On #trendmuzikblast @Djitchyfingazz #spinning:repeat_one: LISTENLIVEON #OURAPPONPLAYSTORE AND #WEBSITEONBIO,2
stay_at_home_orders,:notes::arrow_forward:Bamiloke @crayonthis  On #Totorimuzik @Djitchyfingazz #spinning:repeat_one: LISTENLIVEON #OURAPPONPLAYSTORE AND #WEBSITEONBIO,2
stay_at_home_orders,"@drdavidsamadi California...need I say more? :folded_hands_medium-light_skin_tone::flag_for_United_States:
Common sense, it’s not so common 
anymore :confused:",2
stay_at_home_orders,:notes::arrow_forward:Power rangers @TeniEntertainer   On #trendmuzikblast @Djitchyfingazz #spinning:repeat_one: LISTENLIVEON #OURAPPONPLAYSTORE AND #WEBSITEONBIO,2
stay_at_home_orders,:notes::arrow_forward:Wake up @starboiterri    On #TRENDVILLA @fomaliciousbabe @Akpos_carrytalk @Djitchyfingazz #spinning:repeat_one: LISTENLIVEON #OURAPPONPLAYSTORE AND #WEBSITEONBIO,2
stay_at_home_orders,@IanMaher7 And says,2
stay_at_home_orders,"the spread of illness on a daily basis.

COVID-19 is caused by #Coronavirus that was first identified in late 2019. It is spread from person to person through droplets produced by coughing or sneezing. It causes mild symptoms in most people but in some it can cause..",2
stay_at_home_orders,:notes::arrow_forward:Love me love me @official2baba On #Totorimuzik @Djitchyfingazz #spinning:repeat_one: LISTENLIVEON #OURAPPONPLAYSTORE AND #WEBSITEONBIO,2
stay_at_home_orders,:notes::arrow_forward:Too much money @victor_adere  On #trendmuzikblast @Djitchyfingazz #spinning:repeat_one: LISTENLIVEON #OURAPPONPLAYSTORE AND #WEBSITEONBIO,2
stay_at_home_orders,:notes::arrow_forward:Mj @Badboytimz  On #TRENDVILLA @fomaliciousbabe @Akpos_carrytalk @Djitchyfingazz #spinning:repeat_one: LISTENLIVEON #OURAPPONPLAYSTORE AND #WEBSITEONBIO,2
stay_at_home_orders,:notes::arrow_forward:Babylon @MI_Abaga @official2baba   On #Totorimuzik @Djitchyfingazz #spinning:repeat_one: LISTENLIVEON #OURAPPONPLAYSTORE AND #WEBSITEONBIO,2
stay_at_home_orders,":play_button_selector::radio: self  @iam_ letter_i @deejayfoxyone 
 
#RaypowerNigeria",2
stay_at_home_orders,"@Asif786Raja @LOGANGAIN1 @ganseyman @Jen2Gain @ginestarros @balistyle78 @italianostyle2 @TabletWallpaper @luisalarosa @ElisaElisa110 @V1ctor1aDiane @izakira3 @SevenGodess @khalidaajzi @glenton123 @EternoPantera @mamiRD_ Pleasure dear :sparkles::tulip::leaves:
@Asif786Raja  :two_hearts::tulip::leaves:",2
stay_at_home_orders,:notes::arrow_forward:Like i do @fireboydml   On #trendmuzikblast @Djitchyfingazz #spinning:repeat_one: LISTENLIVEON #OURAPPONPLAYSTORE AND #WEBSITEONBIO,2
stay_at_home_orders,:notes::arrow_forward:Started from the bottom @Drake   On #TRENDVILLA @fomaliciousbabe @Akpos_carrytalk @Djitchyfingazz #spinning:repeat_one: LISTENLIVEON #OURAPPONPLAYSTORE AND #WEBSITEONBIO,2
stay_at_home_orders,:notes::arrow_forward:Bags bags bags @illBlissGoretti  On #BREAKETIMESHOW @Archchildify @Djitchyfingazz #spinning:repeat_one: LISTENLIVEON #OURAPPONPLAYSTORE AND #WEBSITEONBIO,2
