feature,shap_importance,linear_importance,linear_std,linear_count,_merge,shap_rank,linear_rank,overlap_status
type_token_ratio,0.568214,0.8167424733574671,0.3783203465493732,13.0,both,1.0,1.0,Both methods
noun_ratio,0.56365,0.6682924021449568,0.46091250065994516,13.0,both,2.0,4.0,Both methods
hapax_legomena,0.547587,0.7218232398727611,0.2520450453123121,13.0,both,3.0,3.0,Both methods
punctuation_density,0.51443,0.6525003603050651,0.5925041098297635,13.0,both,4.0,5.0,Both methods
sentence_count,0.458815,0.6003185806343931,0.27415548546437923,13.0,both,5.0,9.0,Both methods
pronoun_ratio,0.428528,0.6146417056756062,0.2419867011234189,13.0,both,6.0,7.0,Both methods
word_count,0.422067,0.7904838944786285,0.2773877441335328,13.0,both,7.0,2.0,Both methods
stopword_ratio,0.414337,0.563023267139663,0.22621368366050265,13.0,both,8.0,10.0,Both methods
doubt_adverbs_count,0.412391,0.6102969506851499,0.4293207691352291,13.0,both,9.0,8.0,Both methods
function_word_ratio,0.399873,0.4123870755916398,0.30810472639700176,13.0,both,10.0,15.0,Both methods
certainty_verbs_count,0.382506,0.6162564478920639,0.4835759596762673,13.0,both,11.0,6.0,Both methods
fear,0.371102,0.3245110128938925,0.269819773341103,13.0,both,12.0,18.0,Both methods
avg_word_length,0.292583,0.41607358327192334,0.4057340821624948,13.0,both,13.0,14.0,Both methods
adj_ratio,0.260869,0.3131831112721163,0.15070160714360145,13.0,both,14.0,20.0,Both methods
sentiment_polarity,0.254105,0.2458293519838266,0.20286783402672892,13.0,both,15.0,27.0,Both methods
verb_ratio,0.24231,0.2812676318517532,0.2135039193320635,13.0,both,16.0,22.0,Both methods
std_word_length,0.239557,0.27435837334099866,0.2191128790085123,13.0,both,17.0,23.0,Both methods
certainty_adverbs_count,0.239272,0.533485582382355,0.42610558063054266,13.0,both,18.0,12.0,Both methods
anger,0.236039,0.5359909707458964,0.3905934002500853,13.0,both,19.0,11.0,Both methods
surprise,0.228682,0.25968151489895097,0.22496451639560164,13.0,both,20.0,24.0,Both methods
hedge_C_count,0.221386,0.4321533662484065,0.31849804175389246,13.0,both,21.0,13.0,Both methods
subordinate_clause_ratio,0.204236,0.17505749056974101,0.1304554765232505,13.0,both,22.0,36.0,Both methods
joy,0.202918,0.23655854241930135,0.1520071033690717,13.0,both,23.0,29.0,Both methods
hedge_E_count,0.179994,0.38572398046553324,0.24074635440036013,13.0,both,24.0,16.0,Both methods
punctuation_usage,0.179389,0.2518435524868022,0.22060165711632349,13.0,both,25.0,25.0,Both methods
adv_ratio,0.167931,0.24535691256833672,0.1616444735481397,13.0,both,26.0,28.0,Both methods
hedges_score,0.166626,0.1772331573769179,0.1615025117019311,13.0,both,27.0,34.0,Both methods
hedge_D_count,0.162768,0.365867427314568,0.30166340176106504,13.0,both,28.0,17.0,Both methods
readability_score,0.162618,0.24750425490737823,0.1516982016628104,13.0,both,29.0,26.0,Both methods
sentiment_subjectivity,0.133219,0.16258801038203655,0.14468141716905264,13.0,both,30.0,38.0,Both methods
hedge_N_count,0.128974,0.21161111052389436,0.21491549829354392,13.0,both,31.0,33.0,Both methods
D_ratio,0.127511,0.3050159866354664,0.20533816546447797,13.0,both,32.0,21.0,Both methods
doubt_adjectives_count,0.126291,0.15451721171405142,0.08632316563323468,13.0,both,33.0,40.0,Both methods
certainty_adjectives_count,0.116391,0.1589783103269919,0.10756177939043914,13.0,both,34.0,39.0,Both methods
N_ratio,0.111574,0.21792348002263734,0.1773130979346614,13.0,both,35.0,31.0,Both methods
sentence_length_variation,0.109018,0.1766951741673028,0.09563694944207812,13.0,both,36.0,35.0,Both methods
C_ratio,0.090589,0.12908358561954175,0.09323887986123973,13.0,both,37.0,41.0,Both methods
sadness,0.089969,0.2205789789407591,0.18356443825793559,13.0,both,38.0,30.0,Both methods
E_ratio,0.086016,0.21429313931525157,0.12633087280155136,13.0,both,39.0,32.0,Both methods
doubt_verbs_count,0.065878,0.1678828460351466,0.16227862864738554,13.0,both,40.0,37.0,Both methods
disgust,0.040068,0.31870873593982274,0.14386830193033284,13.0,both,41.0,19.0,Both methods
I_ratio,0.007918,0.10472821191197827,0.02325007862557722,7.0,both,42.0,43.0,Both methods
hedge_I_count,0.007875,0.1047282119119783,0.02325007862557717,7.0,both,43.0,42.0,Both methods
avg_dependency_depth,0.0,,,,left_only,44.0,44.0,SHAP only
