target,text,stance,word_count,sentence_count,avg_word_length,std_word_length,type_token_ratio,hapax_legomena,stopword_ratio,punctuation_density,noun_ratio,verb_ratio,adj_ratio,adv_ratio,pronoun_ratio,avg_dependency_depth,function_word_ratio,punctuation_usage,readability_score,sentence_length_variation,subordinate_clause_ratio,sentiment_polarity,sentiment_subjectivity,anger,joy,fear,sadness,disgust,surprise,certainty_adverbs_count,certainty_verbs_count,certainty_adjectives_count,doubt_adverbs_count,doubt_verbs_count,doubt_adjectives_count,hedges_score,hedge_C_count,hedge_D_count,hedge_E_count,hedge_I_count,hedge_N_count,C_ratio,D_ratio,E_ratio,I_ratio,N_ratio
Atheism,This world needs a tight group hug. Tight enough to relieve them from all this anger and hate. #MakePeaceWithEachOther #SemST,0,24.0,3.0,4.416666666666667,4.040592640800219,0.9166666666666666,0.8333333333333334,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.041666666666666664,1.0,0.375,0.08333333333333333,3.7,3.6817870057290873,0.041666666666666664,-0.37142857142857144,0.4342857142857143,0.9930338859558105,0.0007794445264153183,0.0028953177388757467,0.0013387444196268916,0.0008133594528771937,0.0003331013140268624,0.0,0.0,1.0,1.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Atheism,"Morality is not derived from religion, it precedes it. -Christopher 'The Hitch' Hitchens #freethinkers #SemST",0,20.0,2.0,4.75,3.533765696816924,0.9,0.8,0.25,0.35,0.3,0.15,0.05,0.05,0.1,1.0,0.2857142857142857,0.05,5.0,1.5,0.05,0.0,0.0,0.04017985239624977,0.010672255419194698,0.9403384327888489,0.005664174910634756,0.002135608810931444,0.000576518417801708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Atheism,Happy Independence Day to America and her beautiful constitution #IndependenceDay #USA #SemST,0,15.0,1.0,5.466666666666667,4.3797513881751575,0.8666666666666667,0.8,0.2,0.2,0.4666666666666667,0.0,0.13333333333333333,0.0,0.06666666666666667,1.0,0.2,0.0,16.2,0.0,0.0,0.825,1.0,0.01395339798182249,0.8453826904296875,0.09730196744203568,0.009389463812112808,0.00043574415030889213,0.024173688143491745,1.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Atheism,"These days, the cool kids are atheists.  #freethinker #SemST",0,13.0,2.0,3.923076923076923,2.840951586556829,0.9230769230769231,0.8461538461538461,0.23076923076923078,0.3076923076923077,0.38461538461538464,0.07692307692307693,0.07692307692307693,0.0,0.0,1.0,0.21428571428571427,0.07692307692307693,2.1,2.5,0.0,0.35,0.65,0.015881462022662163,0.7983056902885437,0.16985808312892914,0.00832095555961132,0.0009395020897500217,0.004832797218114138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Atheism,"Who cares if this person or that person is xtian or atheist. Polpott, hitler or mao.   God still does not exist.   #SemST",0,27.0,4.0,3.5555555555555554,1.9116278371205837,0.8148148148148148,0.7037037037037037,0.37037037037037035,0.18518518518518517,0.2962962962962963,0.14814814814814814,0.037037037037037035,0.07407407407407407,0.0,1.0,0.3793103448275862,0.1111111111111111,1.4,4.031128874149275,0.07407407407407407,0.0,0.0,0.143793985247612,0.10493046790361404,0.2300546020269394,0.14172101020812988,0.003893923480063677,0.21238724887371063,0.0,0.0,0.0,1.0,0.0,0.0,0.9661074876785278,21.0,0.0,0.0,0.0,1.0,0.9545454545454546,0.0,0.0,0.0,0.045454545454545456
Atheism,The Best #conspiracy of the world is #Religion. #science #davincisdemons #SemST,0,17.0,2.0,4.0588235294117645,3.6536941537104792,0.7647058823529411,0.7058823529411765,0.23529411764705882,0.35294117647058826,0.4117647058823529,0.058823529411764705,0.0,0.0,0.0,1.0,0.23529411764705882,0.058823529411764705,6.6,2.5,0.0,1.0,0.3,0.023729771375656128,0.010516298934817314,0.9562182426452637,0.006309318821877241,0.0005227537476457655,0.0014204960316419601,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Atheism,American conservatism has everything to do with religion with all the good stuff taking out of it. #SemST,0,20.0,2.0,4.4,2.939387691339814,0.95,0.9,0.5,0.1,0.25,0.15,0.1,0.0,0.05,1.0,0.55,0.05,9.1,8.0,0.0,0.35,0.30000000000000004,0.1521359086036682,0.050159700214862823,0.7443538904190063,0.021074991673231125,0.002004909096285701,0.00825672410428524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Atheism,Currently doing a piece on logical fallacies for my blog @weebly #philosophy #logicism #blog #humanist #SemST,0,22.0,1.0,4.2727272727272725,3.047828111680038,0.7727272727272727,0.6818181818181818,0.22727272727272727,0.2727272727272727,0.36363636363636365,0.045454545454545456,0.09090909090909091,0.09090909090909091,0.045454545454545456,1.0,0.23809523809523808,0.0,13.1,0.0,0.0,0.125,0.325,0.06181218475103378,0.39479759335517883,0.49813634157180786,0.030414026230573654,0.0006678560748696327,0.01054791733622551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Atheism,"Proud to be #TeamJinnah :) No Bhutto, no Imran's , only Jinnah's Pakistan :) #Inclusive #SemST",0,24.0,1.0,3.2916666666666665,2.745893398432568,0.75,0.5416666666666666,0.20833333333333334,0.4583333333333333,0.2916666666666667,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0,1.0,0.3181818181818182,0.0,8.4,0.0,0.041666666666666664,0.45,1.0,0.0025646353606134653,0.9895399212837219,0.0015358342789113522,0.002703114878386259,0.0014165136963129044,0.0008573408704251051,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Atheism,I officiate #humanist & most #nonreligious weddings-starting at $99. Ask me about #student discounts! #216 #celebrant #weddings #SemST,0,28.0,3.0,4.178571428571429,4.106211074427994,0.7857142857142857,0.75,0.17857142857142858,0.42857142857142855,0.21428571428571427,0.07142857142857142,0.10714285714285714,0.0,0.07142857142857142,1.0,0.16666666666666666,0.07142857142857142,9.1,2.160246899469287,0.0,0.625,0.5,0.01850743032991886,0.9418420791625977,0.02653256617486477,0.006083463318645954,0.0005231360555626452,0.005363458301872015,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
