feature,shap_importance,iteration,stance,model
punctuation_density,1.2596857693801642,10,FAVOR,Logistic Regression
hapax_legomena,0.8547741350078332,10,FAVOR,Logistic Regression
type_token_ratio,0.8287471646384088,10,FAVOR,Logistic Regression
sentence_count,0.6067939344974045,10,FAVOR,Logistic Regression
fear,0.5522631440063746,10,FAVOR,Logistic Regression
avg_word_length,0.45842156591215383,10,FAVOR,Logistic Regression
noun_ratio,0.4355366899189129,10,FAVOR,Logistic Regression
sentiment_polarity,0.3597244353877291,10,FAVOR,Logistic Regression
pronoun_ratio,0.35703603581670323,10,FAVOR,Logistic Regression
adj_ratio,0.3292621055572367,10,FAVOR,Logistic Regression
readability_score,0.3120136326000103,10,FAVOR,Logistic Regression
hedge_N_count,0.3117062164083519,10,FAVOR,Logistic Regression
joy,0.3064317034774542,10,FAVOR,Logistic Regression
word_count,0.27485686853934005,10,FAVOR,Logistic Regression
verb_ratio,0.25704242176164493,10,FAVOR,Logistic Regression
certainty_adjectives_count,0.22595248968087053,10,FAVOR,Logistic Regression
hedge_C_count,0.22124986626557944,10,FAVOR,Logistic Regression
N_ratio,0.22117021758701763,10,FAVOR,Logistic Regression
surprise,0.2147437666809169,10,FAVOR,Logistic Regression
adv_ratio,0.21154292505318312,10,FAVOR,Logistic Regression
hedge_E_count,0.19549492929262724,10,FAVOR,Logistic Regression
stopword_ratio,0.19268532741554517,10,FAVOR,Logistic Regression
subordinate_clause_ratio,0.17684601643892603,10,FAVOR,Logistic Regression
punctuation_usage,0.16153442921576172,10,FAVOR,Logistic Regression
doubt_adverbs_count,0.14987454069470738,10,FAVOR,Logistic Regression
doubt_verbs_count,0.13467948113289344,10,FAVOR,Logistic Regression
sentiment_subjectivity,0.12363892548452456,10,FAVOR,Logistic Regression
function_word_ratio,0.11377692695400117,10,FAVOR,Logistic Regression
certainty_verbs_count,0.10513492594855489,10,FAVOR,Logistic Regression
E_ratio,0.10210073712917368,10,FAVOR,Logistic Regression
C_ratio,0.10124258720616548,10,FAVOR,Logistic Regression
sadness,0.097777112458909,10,FAVOR,Logistic Regression
std_word_length,0.09580040510852823,10,FAVOR,Logistic Regression
doubt_adjectives_count,0.08755325185663038,10,FAVOR,Logistic Regression
disgust,0.08601249755200653,10,FAVOR,Logistic Regression
D_ratio,0.07577270174878017,10,FAVOR,Logistic Regression
sentence_length_variation,0.06968669110989678,10,FAVOR,Logistic Regression
certainty_adverbs_count,0.0513844020164042,10,FAVOR,Logistic Regression
hedges_score,0.04771496188459538,10,FAVOR,Logistic Regression
anger,0.036362084074508305,10,FAVOR,Logistic Regression
hedge_D_count,0.029453630768288358,10,FAVOR,Logistic Regression
avg_dependency_depth,0.0,10,FAVOR,Logistic Regression
hedge_I_count,0.0,10,FAVOR,Logistic Regression
I_ratio,0.0,10,FAVOR,Logistic Regression
