feature,p_value,significance,correct_mean,incorrect_mean,correct_mean_std,incorrect_mean_std,XGBoost_coef
N_ratio,0.07826566204248422,,0.0026,0.0052,0.0026 ± 0.0132,0.0052 ± 0.0188,0.11958877742290497
anger*,2.665748615368831e-07,*,0.2901,0.1658,0.2901 ± 0.304,0.1658 ± 0.2118,0.05450993776321411
certainty_adverbs_count,0.7480204602250653,,0.1777,0.1653,0.1777 ± 0.4242,0.1653 ± 0.4243,0.04468714818358421
sentence_count,0.8321528646288987,,2.219,2.1942,2.219 ± 1.2481,2.1942 ± 1.3231,0.03952717036008835
hedges_score,0.9645038222435451,,0.1768,0.1753,0.1768 ± 0.3672,0.1753 ± 0.3689,0.03633343428373337
joy*,0.04331725269625864,*,0.0377,0.0664,0.0377 ± 0.1365,0.0664 ± 0.1736,0.03607206419110298
C_ratio,0.1252229882396865,,0.9915,0.9879,0.9915 ± 0.0226,0.9879 ± 0.0283,0.03601934015750885
certainty_verbs_count*,0.008358205192091094,*,0.5785,0.3967,0.5785 ± 0.8123,0.3967 ± 0.6935,0.035292092710733414
function_word_ratio,0.25159542828225606,,0.3222,0.3371,0.3222 ± 0.1495,0.3371 ± 0.1373,0.03511664643883705
noun_ratio,0.3585033843874317,,0.371,0.3593,0.371 ± 0.1518,0.3593 ± 0.1279,0.0331302210688591
verb_ratio,0.3165679612012474,,0.1297,0.1356,0.1297 ± 0.0685,0.1356 ± 0.0615,0.03207962214946747
adv_ratio,0.3470443287940951,,0.0338,0.0377,0.0338 ± 0.0433,0.0377 ± 0.0474,0.031029919162392616
surprise*,0.008166844157084326,*,0.0449,0.0783,0.0449 ± 0.1244,0.0783 ± 0.1506,0.03075760416686535
hedge_C_count*,0.04393324150700325,*,22.8347,20.8471,22.8347 ± 11.9805,20.8471 ± 9.5268,0.028151050209999084
avg_word_length,0.06803215662800667,,4.5773,4.4348,4.5773 ± 0.9074,4.4348 ± 0.8027,0.027626972645521164
sadness,0.9004830215725714,,0.1024,0.1004,0.1024 ± 0.1915,0.1004 ± 0.1739,0.02706720679998398
disgust,0.05895802810214796,,0.023,0.0086,0.023 ± 0.1144,0.0086 ± 0.0275,0.0265360064804554
word_count,0.0943996878062928,,29.2107,27.2025,29.2107 ± 14.4349,27.2025 ± 11.7951,0.02646923065185547
sentence_length_variation,0.163515598921864,,3.4972,3.0208,3.4972 ± 4.1097,3.0208 ± 3.364,0.025565454736351967
fear,0.713364315427724,,0.4373,0.45,0.4373 ± 0.3826,0.45 ± 0.3765,0.025243651121854782
punctuation_density,0.9348077346227004,,0.3121,0.3109,0.3121 ± 0.1793,0.3109 ± 0.1645,0.022899124771356583
stopword_ratio,0.6020892307038697,,0.2667,0.2727,0.2667 ± 0.132,0.2727 ± 0.1208,0.022629521787166595
type_token_ratio,0.2458436676176143,,0.8768,0.8863,0.8768 ± 0.0983,0.8863 ± 0.0813,0.02222629263997078
sentiment_polarity*,0.008953760572861662,*,0.0002,0.0628,0.0002 ± 0.2777,0.0628 ± 0.2466,0.021080825477838516
punctuation_usage,0.14278096714109198,,0.0904,0.0807,0.0904 ± 0.0828,0.0807 ± 0.0609,0.019251830875873566
pronoun_ratio,0.7514098280169389,,0.0431,0.0445,0.0431 ± 0.0499,0.0445 ± 0.0515,0.018424728885293007
std_word_length,0.6823610385680623,,3.3033,3.2688,3.3033 ± 0.9249,3.2688 ± 0.9298,0.01804455928504467
sentiment_subjectivity,0.06832733453935726,,0.3607,0.3112,0.3607 ± 0.3132,0.3112 ± 0.2814,0.017484616488218307
adj_ratio,0.562272595902297,,0.0599,0.0624,0.0599 ± 0.045,0.0624 ± 0.0493,0.017232181504368782
subordinate_clause_ratio,0.5416034103957676,,0.0507,0.048,0.0507 ± 0.0485,0.048 ± 0.047,0.01688520982861519
readability_score,0.21980609155138642,,8.9651,8.5089,8.9651 ± 4.2834,8.5089 ± 3.8744,0.016452129930257797
certainty_adjectives_count,0.4720429751689351,,0.2934,0.3306,0.2934 ± 0.5768,0.3306 ± 0.5599,0.013820864260196686
hapax_legomena,0.344803059129397,,0.7948,0.8066,0.7948 ± 0.1451,0.8066 ± 0.1279,0.013648205436766148
hedge_N_count,0.19072077720918904,,0.0744,0.1198,0.0744 ± 0.3449,0.1198 ± 0.4151,0.005486092064529657
doubt_adverbs_count,0.828904759390982,,0.3678,0.3554,0.3678 ± 0.6578,0.3554 ± 0.6023,0.003630175720900297
avg_dependency_depth,,,1.0,1.0,1.0 ± 0.0,1.0 ± 0.0,
hedge_D_count,0.3082945876905122,,0.0785,0.0496,0.0785 ± 0.3838,0.0496 ± 0.2175,
doubt_adjectives_count,0.1724811714095628,,0.1529,0.1074,0.1529 ± 0.404,0.1074 ± 0.3234,
doubt_verbs_count,0.20197059759514124,,0.0124,0.0289,0.0124 ± 0.1109,0.0289 ± 0.1679,
hedge_I_count,0.10193471093185988,,0.0,0.0165,0.0 ± 0.0,0.0165 ± 0.1569,
hedge_E_count,0.7610024433429339,,0.0826,0.0744,0.0826 ± 0.3178,0.0744 ± 0.2783,
D_ratio,0.9517149666124246,,0.0022,0.0022,0.0022 ± 0.0103,0.0022 ± 0.0104,
E_ratio,0.8521607285352053,,0.0038,0.004,0.0038 ± 0.0144,0.004 ± 0.0164,
I_ratio,0.15481819131413735,,0.0,0.0007,0.0 ± 0.0,0.0007 ± 0.0072,
