feature,quartile,shap_rank,linear_rank,shap_importance,linear_importance,mean_directional,positive_ratio,negative_ratio,direction_strength,mean_feat_when_shap_positive,mean_feat_when_shap_negative,feature_shap_correlation,count_shap_positive,count_shap_negative
punctuation_density,Q1,1.0,1.0,0.716981,0.8765869550829245,-0.0226921680256839,0.5386861313868613,0.4613138686131386,0.0213157134770552,0.1700454722693682,-0.0892134067328503,-0.3502919007541031,738,632
function_word_ratio,Q1,2.0,2.0,0.625122,0.6478879296130267,0.0839748038090939,0.5394160583941606,0.4605839416058394,0.1026098171426314,-0.9146783336531954,0.8463184653827693,-0.9080393207611498,739,631
fear,Q1,3.0,6.0,0.529336,0.5105048715808972,0.009463769367459,0.5262773722627737,0.4737226277372263,0.0139132515960187,0.5796969357883011,-0.4988603815928929,0.5751509259769766,721,649
anger,Q1,4.0,3.0,0.501058,0.6189972047816236,0.0081793171897405,0.3131386861313868,0.6868613138686132,0.0114880800383654,1.19622879442467,-0.5888518138868211,0.9343134740347367,429,941
type_token_ratio,Q1,5.0,7.0,0.40895,0.4857872558704041,-0.0386461781807271,0.4970802919708029,0.502919708029197,0.0608950461541347,0.5605257996333729,-0.4972448793774138,0.774395376400741,681,689
verb_ratio,Q1,6.0,10.0,0.397478,0.4436283456386789,0.0552947770229084,0.5357664233576642,0.4642335766423358,0.1015393939629496,-0.7050157746511543,0.6827310862105167,-0.8833384242388489,734,636
noun_ratio,Q1,7.0,8.0,0.394976,0.4642444848765124,-0.0352438695764528,0.5240875912408759,0.4759124087591241,0.0567285133671368,-0.4776212756598035,0.6976980529827375,-0.7583505659537705,718,652
hapax_legomena,Q2,8.0,12.0,0.347749,0.4075673277795293,0.0349903867429449,0.5058394160583941,0.4941605839416058,0.0729731154848668,-0.7024267117086844,0.678463648718286,-0.8371467710626772,693,677
adv_ratio,Q2,9.0,15.0,0.329581,0.3791293217475766,0.042893134552818,0.5759124087591241,0.4240875912408759,0.0947731574541784,-0.4373649240518045,0.3428946851060335,-0.6302453904018266,789,581
hedge_C_count,Q2,10.0,17.0,0.312354,0.3641045142866387,-0.009959361107539,0.4562043795620438,0.5437956204379562,0.0176227645034245,0.2854678210761053,-0.1522206116567679,0.1470994727172581,625,745
sentence_count,Q1,11.0,5.0,0.308119,0.5135187895387676,-0.0428040038435354,0.5124087591240876,0.4875912408759124,0.0840391977142568,-0.5099170779231333,0.5305784818358927,-0.7093974711862846,702,668
hedges_score,Q2,12.0,16.0,0.289185,0.370110114499865,-0.0064702487222505,0.291970802919708,0.708029197080292,0.0128648894359956,0.4471300096147526,-0.3491491013659762,0.5242012337808906,400,970
readability_score,Q3,13.0,24.0,0.274252,0.316778260309647,0.0157325730042576,0.5182481751824818,0.4817518248175182,0.040280058864971,0.5644324120237382,-0.2934620160361402,0.5135333964698188,710,660
sentence_length_variation,Q3,14.0,29.0,0.251275,0.2606567513406977,-0.0115772733280819,0.5262773722627737,0.4737226277372263,0.0321969033610924,-0.0468681748870819,0.1319164495706345,-0.0938559835330449,721,649
adj_ratio,Q3,15.0,30.0,0.241732,0.2458116775979291,0.0093187212223729,0.5686131386861314,0.4313868613138686,0.0283675136574926,-0.6290487930521902,0.8329899214736258,-0.8645429793136125,779,591
doubt_adverbs_count,Q2,16.0,19.0,0.241178,0.3363532263830756,0.0139967586710973,0.5532846715328467,0.4467153284671533,0.0343259037053445,-0.1819087670368824,-0.1046474321310678,-0.5252579462596074,758,612
avg_word_length,Q2,17.0,22.0,0.236429,0.326381359598205,0.0038052201840673,0.4875912408759124,0.5124087591240876,0.0102136640328592,0.2153739243049714,0.1049983881886339,-0.0508928891311739,668,702
surprise,Q2,18.0,14.0,0.205076,0.3824872395379556,-0.0009366180612412,0.5583941605839416,0.4416058394160584,0.0019025898374084,-0.1306110812979379,0.2098203737386093,-0.4374574917693091,765,605
pronoun_ratio,Q3,19.0,28.0,0.201899,0.2795461565601775,-0.0072772300327906,0.5021897810218978,0.4978102189781022,0.0247864270591354,-0.269341924363753,0.0531536865631305,-0.3606001881841107,688,682
joy,Q2,20.0,4.0,0.197091,0.5667785518758636,0.0152536878751956,0.5934306569343065,0.4065693430656934,0.0282777212781902,-0.1499940087325965,-0.016261673497047,-0.4928602395521479,813,557
C_ratio,Q3,21.0,27.0,0.19117,0.3008525210724955,-0.0047924927462013,0.8087591240875912,0.1912408759124087,0.0128193943806538,0.4133244164625204,-1.1696154298934525,0.8444618295478051,1108,262
stopword_ratio,Q4,22.0,40.0,0.186614,0.1801832522674519,-0.0073347377194661,0.502919708029197,0.4970802919708029,0.0274278681002143,0.076405403086118,-0.1257381151182552,0.3510427025038933,689,681
punctuation_usage,Q3,23.0,23.0,0.182124,0.3261524925104914,-0.0114310340012398,0.4788321167883211,0.5211678832116788,0.0339306400301639,-0.0444782953030504,-0.0430211579911829,0.1669898145637579,656,714
sentiment_subjectivity,Q4,24.0,38.0,0.176363,0.2069292751126326,-0.0133789269765574,0.5051094890510949,0.4948905109489051,0.0535615516378222,-0.1602079310654061,0.0376952241694163,-0.0528772582525969,692,678
subordinate_clause_ratio,Q4,25.0,36.0,0.176337,0.21881057323776,0.0060641809110889,0.4788321167883211,0.5211678832116788,0.0206053890811134,0.4988559842948091,-0.4620366130255518,0.4669420964988193,656,714
hedge_E_count,Q3,26.0,9.0,0.171696,0.4582013180216566,0.009945828099875,0.2656934306569343,0.7343065693430657,0.0219008461019378,0.4780581309067082,-0.1955596849521379,0.5994315847971845,364,1006
word_count,Q3,27.0,26.0,0.170191,0.3013629656483659,-0.0120142417702077,0.4897810218978102,0.5072992700729927,0.0384163534836232,0.0579764377022699,-0.0291191392981729,-0.3317160017878744,671,695
sadness,Q4,28.0,34.0,0.168661,0.2306823902607727,0.0167254070873333,0.2941605839416058,0.7058394160583942,0.0559260403066525,1.1276150202857045,-0.3669603094495685,0.8075512920325492,403,967
certainty_verbs_count,Q3,29.0,33.0,0.168597,0.239491366802288,0.0160266773651046,0.6583941605839416,0.3416058394160584,0.0695371788896345,-0.3871964731034913,0.3292360013284175,-0.2669001889748121,902,468
certainty_adjectives_count,Q4,30.0,43.0,0.159794,0.1328560770021349,-0.0018895971400652,0.3744525547445255,0.6255474452554745,0.0078968331431707,0.6242467668044546,-0.3689482494436407,0.1853347143802945,513,857
N_ratio,Q3,31.0,13.0,0.150294,0.3881901350859089,-0.0224523261832804,0.8029197080291971,0.1970802919708029,0.0528049890242413,-0.2254623456193047,0.776004022669235,-0.6867875111515663,1100,270
std_word_length,Q4,32.0,35.0,0.144034,0.2217059129427241,-0.0138699249816516,0.5051094890510949,0.4948905109489051,0.0641848850183021,0.140863226303276,0.1265096448648856,-0.1949881145735192,692,678
hedge_D_count,Q3,33.0,11.0,0.142882,0.4178013905826675,0.0020080383621598,0.7598540145985402,0.2401459854014598,0.0055685725071184,-0.2278176806842854,0.1627013330797904,-0.7249824636173996,1041,329
certainty_adverbs_count,Q4,34.0,32.0,0.136516,0.2401661643815587,4.21563898390125e-05,0.3306569343065693,0.6693430656934306,0.0001532372494509,0.2466479031404945,-0.199268088828275,0.3279370693130695,453,917
