feature,mi_score
type_token_ratio,0.07527545721111317
disgust,0.06009550125976881
fear,0.05401390374032755
certainty_verbs_count,0.05169206569807372
verb_ratio,0.05156343198442492
hapax_legomena,0.05124430341156305
sentiment_polarity,0.0455980643983227
hedge_N_count,0.045444413737966816
noun_ratio,0.043473454695992286
punctuation_density,0.03884191264375492
surprise,0.03489766701894004
word_count,0.03434796231272785
certainty_adverbs_count,0.03425108777780106
sentence_length_variation,0.03225374506497536
readability_score,0.02888748654784834
hedge_C_count,0.028089026921930937
punctuation_usage,0.024764129715713734
D_ratio,0.022103260720667928
hedge_I_count,0.019267914533446895
certainty_adjectives_count,0.014169648308782312
doubt_adjectives_count,0.013504370518969022
pronoun_ratio,0.013236518160330446
hedge_D_count,0.010828846857084296
subordinate_clause_ratio,0.008755832457416401
sentence_count,0.007695845042277938
stopword_ratio,0.006215131556840392
adv_ratio,0.005237302534969679
N_ratio,0.0009717710025989312
std_word_length,0.000910886291455304
avg_word_length,0.0
adj_ratio,0.0
sentiment_subjectivity,0.0
function_word_ratio,0.0
avg_dependency_depth,0.0
anger,0.0
joy,0.0
sadness,0.0
hedges_score,0.0
doubt_adverbs_count,0.0
doubt_verbs_count,0.0
C_ratio,0.0
hedge_E_count,0.0
E_ratio,0.0
I_ratio,0.0
