feature,Logistic Regression,XGBoost,correct_mean_std,incorrect_mean_std
C_ratio,-0.34344993755887226,0.05812999978661537,0.9886 ± 0.03,0.9913 ± 0.0234
D_ratio*,0.04964840153338428,0.0,0.0007 ± 0.0063,0.0022 ± 0.0115
E_ratio,0.112220947195304,0.0,0.0055 ± 0.0213,0.0049 ± 0.0182
I_ratio,0.5154872227041128,0.0,0.0002 ± 0.0032,0.0002 ± 0.0033
N_ratio*,0.2967178848401602,0.0,0.005 ± 0.0211,0.0014 ± 0.0094
adj_ratio,0.1488797735214744,0.021323492750525475,0.0568 ± 0.0492,0.054 ± 0.0503
adv_ratio,0.1142662655182566,0.020136956125497818,0.0204 ± 0.0325,0.0202 ± 0.0332
anger*,-0.03383002423312539,0.02263009361922741,0.089 ± 0.1703,0.131 ± 0.2082
avg_dependency_depth,0.0,0.0,1.0 ± 0.0,1.0 ± 0.0
avg_word_length*,-0.5454241245852047,0.01886317878961563,4.8183 ± 0.8354,4.9631 ± 0.903
certainty_adjectives_count,0.08278611669741573,0.03433023765683174,0.1889 ± 0.4225,0.13 ± 0.3548
certainty_adverbs_count,-0.24742691988021448,0.03807894513010979,0.0774 ± 0.3004,0.0898 ± 0.297
certainty_verbs_count,0.08880330717841066,0.0,0.161 ± 0.4375,0.195 ± 0.4619
disgust,-0.002786667754404867,0.041174571961164474,0.0063 ± 0.0229,0.0076 ± 0.0531
doubt_adjectives_count,-0.09945697084605944,0.08394105732440948,0.096 ± 0.3054,0.1084 ± 0.3211
doubt_adverbs_count,-0.09421201604767686,0.00720750680193305,0.2105 ± 0.4784,0.2136 ± 0.493
doubt_verbs_count,0.11813950857512012,0.0,0.031 ± 0.1735,0.0124 ± 0.1108
fear*,-0.11013812980445623,0.04243524372577667,0.264 ± 0.338,0.3527 ± 0.3803
function_word_ratio,0.4927708346947341,0.033857159316539764,0.2462 ± 0.1397,0.2432 ± 0.1332
hapax_legomena,0.5844197839832845,0.009855606593191624,0.8356 ± 0.1227,0.8478 ± 0.1352
hedge_C_count,0.052422224855959584,0.0443093366920948,16.2755 ± 4.5698,16.7307 ± 7.3382
hedge_D_count*,-0.18314132362007157,0.0,0.0124 ± 0.1108,0.0433 ± 0.2039
hedge_E_count,-0.17880017508167434,0.0,0.0867 ± 0.3324,0.0805 ± 0.2725
hedge_I_count,-0.5623419283721093,0.0,0.0062 ± 0.0786,0.0093 ± 0.1669
hedge_N_count*,-0.011088519279905912,0.039339832961559296,0.0867 ± 0.3506,0.0372 ± 0.2464
hedges_score,-0.13559946023660002,0.0,0.1416 ± 0.3372,0.1444 ± 0.3387
joy*,0.2709438309806237,0.029758065938949585,0.1285 ± 0.2018,0.0775 ± 0.1376
noun_ratio,0.3408827483067584,0.03239157423377037,0.4758 ± 0.1239,0.4568 ± 0.1498
pronoun_ratio,-0.11300087994749167,0.015617751516401768,0.0162 ± 0.0283,0.0201 ± 0.0371
punctuation_density,-0.051854712645085656,0.01624550297856331,0.4264 ± 0.1679,0.4071 ± 0.1681
punctuation_usage,0.10916747760790949,0.027491290122270584,0.0888 ± 0.059,0.084 ± 0.0569
readability_score,-0.05333854509260509,0.013518794439733028,9.4759 ± 4.0862,9.938 ± 3.9033
sadness,0.25227145928855826,0.023061202839016914,0.1075 ± 0.1821,0.0984 ± 0.1787
sentence_count,-0.22414758647911984,0.044007230550050735,1.4768 ± 0.7813,1.582 ± 1.1237
sentence_length_variation,0.13265012827197595,0.021378198638558388,1.4697 ± 2.4192,1.6253 ± 2.9837
sentiment_polarity*,0.12577483253267951,0.04773608595132828,0.0645 ± 0.2001,0.0299 ± 0.1967
sentiment_subjectivity,0.002829850093050395,0.023360174149274826,0.2299 ± 0.2939,0.2353 ± 0.3094
std_word_length,0.442576934976099,0.013645444065332413,3.8062 ± 0.7408,3.777 ± 0.8245
stopword_ratio,0.0835270153623901,0.02359917387366295,0.1906 ± 0.1183,0.1937 ± 0.119
subordinate_clause_ratio,-0.1154562193605921,0.019273634999990463,0.0317 ± 0.0469,0.0384 ± 0.047
surprise*,0.13049598029949325,0.028512556105852127,0.151 ± 0.1712,0.1193 ± 0.1575
type_token_ratio,-0.756269295035624,0.036895666271448135,0.9042 ± 0.0798,0.9132 ± 0.0846
verb_ratio*,-0.3933620831151151,0.03823210671544075,0.0846 ± 0.0649,0.1131 ± 0.0735
word_count,-0.09920714192496624,0.029662352055311203,22.2136 ± 5.7856,22.6161 ± 11.4662
