feature,shap_importance,iteration,stance,model
avg_word_length,0.5335680052132269,4,All_Stances,Logistic Regression
noun_ratio,0.421613521332321,4,All_Stances,Logistic Regression
punctuation_density,0.41700486786665614,4,All_Stances,Logistic Regression
fear,0.3413477321630303,4,All_Stances,Logistic Regression
stopword_ratio,0.2602335475966091,4,All_Stances,Logistic Regression
C_ratio,0.24036798052201616,4,All_Stances,Logistic Regression
word_count,0.19749054741354152,4,All_Stances,Logistic Regression
hedge_N_count,0.19385730654254416,4,All_Stances,Logistic Regression
N_ratio,0.18617687022400967,4,All_Stances,Logistic Regression
std_word_length,0.1822193863170797,4,All_Stances,Logistic Regression
certainty_adjectives_count,0.16402452007483037,4,All_Stances,Logistic Regression
sentence_count,0.16159608322122737,4,All_Stances,Logistic Regression
function_word_ratio,0.1613212612577074,4,All_Stances,Logistic Regression
adj_ratio,0.15988976147782122,4,All_Stances,Logistic Regression
pronoun_ratio,0.1371469206991475,4,All_Stances,Logistic Regression
sentiment_subjectivity,0.1286451943604659,4,All_Stances,Logistic Regression
surprise,0.10856228683409799,4,All_Stances,Logistic Regression
adv_ratio,0.1039259162889888,4,All_Stances,Logistic Regression
hedges_score,0.09748850531384012,4,All_Stances,Logistic Regression
hedge_D_count,0.08704977006145687,4,All_Stances,Logistic Regression
anger,0.0834582810328254,4,All_Stances,Logistic Regression
D_ratio,0.08254781255223893,4,All_Stances,Logistic Regression
joy,0.08181657769778876,4,All_Stances,Logistic Regression
doubt_adverbs_count,0.07789413033644783,4,All_Stances,Logistic Regression
subordinate_clause_ratio,0.07679776188781456,4,All_Stances,Logistic Regression
doubt_adjectives_count,0.06514340241338633,4,All_Stances,Logistic Regression
hedge_E_count,0.0589709689986053,4,All_Stances,Logistic Regression
certainty_adverbs_count,0.05805082533207864,4,All_Stances,Logistic Regression
E_ratio,0.0568627853465396,4,All_Stances,Logistic Regression
punctuation_usage,0.04754638492263209,4,All_Stances,Logistic Regression
verb_ratio,0.041439440418240624,4,All_Stances,Logistic Regression
type_token_ratio,0.03661952500778092,4,All_Stances,Logistic Regression
hapax_legomena,0.028294985921283648,4,All_Stances,Logistic Regression
hedge_C_count,0.025278437484607875,4,All_Stances,Logistic Regression
certainty_verbs_count,0.023481863489134492,4,All_Stances,Logistic Regression
readability_score,0.02175273564445722,4,All_Stances,Logistic Regression
sentence_length_variation,0.020431455229259578,4,All_Stances,Logistic Regression
sentiment_polarity,0.014676031213221134,4,All_Stances,Logistic Regression
doubt_verbs_count,0.011049151436058965,4,All_Stances,Logistic Regression
sadness,0.0068919834406289205,4,All_Stances,Logistic Regression
disgust,0.006814987995233683,4,All_Stances,Logistic Regression
I_ratio,0.002929960080331196,4,All_Stances,Logistic Regression
hedge_I_count,0.0022665519746924833,4,All_Stances,Logistic Regression
avg_dependency_depth,0.0,4,All_Stances,Logistic Regression
