target,text,stance
Donald Trump,I hope every Billionaire learned their lesson bout talking sh%t about Mexicans!  Do it in your golf clubs NOT on TV! #SemST,0
Donald Trump,Thank you @Macys! You are and will continue to be my favorite store! Bye bye #DoucheBag #SemST,0
Donald Trump,"What does Ivana, NBC, Univision, Gemini's, and Macy's have in common?  Answer: They all dropped #SemST",0
Donald Trump,"Following his recent comments about immigrants, do you think Donald Trump's business interests will suffer? #Trump #SemST",0
Donald Trump,Macy's to stop selling Trump merch. I guess he'll sue them next. #SemST,0
Donald Trump,If you think it's fine American car companies send jobs to Mexico while we pay for their welfare you must hate @realDonaldTrump   #SemST,0
Donald Trump,@gpacja @TexanJustin @JebBush @Isikoff @realDonaldTrump you're an awful person. Free speech. I'll pray for you're soul. #SemST,0
Donald Trump,Think u can say anything without repercussion? Ask Mel Gibson how that's working out for him u racist elitist piece of shit! #SemST,0
Donald Trump,The clothing #Macys (made in Mexico&China) #NBC (Traders! #Sodomites!) #Univision (will pay!) #RollOn!!! @realDonaldTrump #wiyh #SemST,0
Donald Trump,"Notice @realDonaldTrump not saying anything on #CarlosSlim . Not so rich or tough now, huh? Yeah, forgot he's #Mexican huh  #SemST",0
Donald Trump,"For the record, as a #Latino, (#Peruvian to be specific), let me state the obvious: #FuckTrump #SemST",0
Donald Trump,"If there was such a thing as the ""American"" Hitler. Donald Trump would probably be that guy. #nationalism #SemST",0
