target,text,stance
Feminist Movement,Can we grow up and stop catcalling? #SemST,0
Feminist Movement,@always__already Thanks for the fantastic story last month. So well captured us! Can't believe we missed it! #thisiswhatwelooklike #SemST,0
Feminist Movement,Going off to write up second part of #TimHunt story - the collusion & false reports of @connie_Stlouis et al in Seoul. #journalism #SemST,0
Feminist Movement,"Apparently #YesAllWomen who ""don't need no man"" never drive a car, turn on a light switch, or drink clean water. #SemST",0
Feminist Movement,"..Can I also add that I really enjoyed looking at @TahirRajBhasin in #Mardaani :P Tahir, you were a dashing baddie! #Bollywood #SemST",0
Feminist Movement,Really great to see people cheering for Hope Solo even though she has been involved in domestic abuse #equality #SemST,0
Feminist Movement,@coffey_cake4 @DailySexSupply too bad idgaf about #SemST,0
Feminist Movement,"@alias_burgerboy @craigspissed @forthleft infanticide, child to parent abuse, sibling abuse, abuse against  males, LGBT DV #SemST",0
Feminist Movement,I like girls. They just need to know there place. #SemST,0
Feminist Movement,Being a woman & being a feminist just means your not on your own side. #SemST,0
Feminist Movement,Who said Feminists Standard is THE STANDARD of how a woman should be? #SemST,0
Feminist Movement,"Now, I understand your a feminist and think that's adorable, but this grow up time and I'm the man here so run along. #SemST",0
Feminist Movement,@ChaseStraight Wat is gaems? Like candy crush saga? #girlgamzers #wat #SemST,0
Feminist Movement,"@CollegeFix @WashTimes Please notice that ""Victims Advocates""were filing friend of the court briefs. #repealVAWA N destroy #SemST",0
