target,text,stance,word_count,sentence_count,avg_word_length,std_word_length,type_token_ratio,hapax_legomena,stopword_ratio,punctuation_density,noun_ratio,verb_ratio,adj_ratio,adv_ratio,pronoun_ratio,avg_dependency_depth,function_word_ratio,punctuation_usage,readability_score,sentence_length_variation,subordinate_clause_ratio,sentiment_polarity,sentiment_subjectivity,anger,joy,fear,sadness,disgust,surprise,certainty_adverbs_count,certainty_verbs_count,certainty_adjectives_count,doubt_adverbs_count,doubt_verbs_count,doubt_adjectives_count,hedges_score,hedge_C_count,hedge_D_count,hedge_E_count,hedge_I_count,hedge_N_count,C_ratio,D_ratio,E_ratio,I_ratio,N_ratio
Joe Biden,"Why is @JoeBiden a good candidate? ""Tell the truth and let the cards fall where they may. Why would you want the job unless you did that?""",1,33.0,3.0,3.4545454545454546,1.8105902116714732,0.8484848484848485,0.7272727272727273,0.42424242424242425,0.18181818181818182,0.15151515151515152,0.18181818181818182,0.06060606060606061,0.0,0.09090909090909091,1.0,0.53125,0.09090909090909091,0.9,2.160246899469287,0.12121212121212122,0.7,0.6000000000000001,0.23781605064868927,0.005592747125774622,0.7129164934158325,0.014738930389285088,0.000739696784876287,0.022279229015111923,1.0,1.0,0.0,1.0,0.0,0.0,0.8982630372047424,25.0,0.0,0.0,0.0,2.0,0.9259259259259259,0.0,0.0,0.0,0.07407407407407407
Joe Biden,"Cuomo is responsible for massive reduction in hospital beds and is still pursuing Medicaid cuts. Corporate media loves those who serve their corporate lords, hence theyre marking Cuomo look like a hero. #CNNisTrash #NeverCuomo #CuomoCuts #JoeBiden",0,43.0,3.0,4.930232558139535,2.920619150965507,0.8604651162790697,0.7674418604651163,0.20930232558139536,0.16279069767441862,0.37209302325581395,0.11627906976744186,0.11627906976744186,0.046511627906976744,0.023255813953488372,1.0,0.29545454545454547,0.046511627906976744,10.3,5.715476066494082,0.023255813953488372,0.05,0.3875,0.04444405436515808,0.027190132066607475,0.894463300704956,0.016662603244185448,0.0009198053739964962,0.00915236584842205,0.0,1.0,0.0,2.0,0.0,1.0,0.0,36.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Joe Biden,"1. Aid was released ahead of schedule. 2. There are NO victims, therefore NO crime. 3. Democrat corruption in Ukraine is real. 4. NOBODY CARES!! @dbongino @JoeHoz1 #NobodyCares",1,41.0,9.0,3.6341463414634148,3.0424324155146683,0.7804878048780488,0.6829268292682927,0.1951219512195122,0.3170731707317073,0.34146341463414637,0.0975609756097561,0.04878048780487805,0.04878048780487805,0.0,1.0,0.2564102564102564,0.21951219512195122,4.8,2.3778816176702997,0.0,0.3125,0.30000000000000004,0.6664827466011047,0.005053102038800716,0.22672031819820404,0.09052395075559616,0.0023224549368023872,0.00398594094440341,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Joe Biden,"YES! What a great meet and greet!!!!! Hey, anyone seen @JoeBiden or #Biden lately?",0,24.0,3.0,2.875,2.06785919894626,0.7916666666666666,0.75,0.16666666666666666,0.4166666666666667,0.2916666666666667,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0,1.0,0.21739130434782608,0.2916666666666667,1.3,2.6246692913372702,0.0,0.35,0.675,0.003611441235989332,0.8561636805534363,0.009282054379582405,0.0042265309020876884,0.0004054821911267936,0.0890406146645546,1.0,1.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Joe Biden,Oh PLEEEEASE!!! There are NOT Any dang Travel Restrictions to &amp; from Arkansas!!! #DoubleStandard #JoeBiden,0,25.0,3.0,3.84,3.618618520927565,0.76,0.68,0.24,0.4,0.36,0.08,0.0,0.0,0.0,1.0,0.24,0.24,8.0,4.242640687119285,0.0,0.0,0.0,0.08627200126647949,0.06214047223329544,0.5864943861961365,0.06421768665313721,0.0006456910050474107,0.10057549923658371,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Joe Biden,The sad part is that racists bigots will watch and agree but they would never help an African American like this. What a fallacy this video is!!! #JoeBiden,1,33.0,3.0,3.878787878787879,2.041353914315066,0.8787878787878788,0.7878787878787878,0.3939393939393939,0.15151515151515152,0.18181818181818182,0.15151515151515152,0.09090909090909091,0.030303030303030304,0.030303030303030304,1.0,0.48484848484848486,0.12121212121212122,5.2,8.498365855987974,0.06060606060606061,-0.16666666666666666,0.3333333333333333,0.0015847227768972516,0.0026040570810437202,0.0017699070740491152,0.981768012046814,0.0005724464426748455,0.008991887792944908,0.0,2.0,1.0,1.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Joe Biden,"Hell have plenty of time to hang there with the crime family after January. Ohh, except Donny. Hell be in jail. #LockHimUp #exGOP #Biden",1,31.0,4.0,3.6451612903225805,2.0406891166367367,0.8387096774193549,0.7419354838709677,0.2903225806451613,0.22580645161290322,0.3870967741935484,0.0967741935483871,0.0,0.06451612903225806,0.0,1.0,0.3225806451612903,0.0967741935483871,3.3,4.636809247747852,0.0,-0.1,0.0,0.10995589941740036,0.01199057511985302,0.8288052082061768,0.045400939881801605,0.0006429002969525754,0.001961522502824664,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Joe Biden,"#CoryBooker attempting to compare his record with #Biden is FRACKIN laughable! Sen Booker: you have no record! You haven't been in the Senate, let alone in politics to even compete, let alone challenge the long record of service of #Biden. Go sit down! #DemocraticDebate",1,56.0,5.0,4.053571428571429,2.9484841314596535,0.7142857142857143,0.5,0.32142857142857145,0.21428571428571427,0.23214285714285715,0.19642857142857142,0.05357142857142857,0.08928571428571429,0.05357142857142857,1.0,0.4107142857142857,0.07142857142857142,5.2,7.858753081755401,0.08928571428571429,-0.3418981481481482,0.562962962962963,0.05566037446260452,0.005525464192032814,0.9216079115867615,0.009342972189188004,0.0004486311518121511,0.00583005091175437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Joe Biden,"Joe, why don't you list all the legislation you proposed to commemorate Juneteenth? Maybe some of the many speeches you've given on the date in the 40+ years you've been in politics. Any comment?",0,41.0,3.0,3.951219512195122,2.5657330955631483,0.7804878048780488,0.6585365853658537,0.4634146341463415,0.1951219512195122,0.1951219512195122,0.1951219512195122,0.024390243902439025,0.04878048780487805,0.0975609756097561,1.0,0.5476190476190477,0.07317073170731707,7.6,7.039570693980959,0.024390243902439025,0.5,0.5,0.03611252084374428,0.0025104868691414595,0.004575001075863838,0.007240030914545059,0.01156648714095354,0.313656210899353,1.0,0.0,0.0,0.0,0.0,1.0,0.9484795331954956,33.0,0.0,1.0,0.0,0.0,0.9705882352941176,0.0,0.029411764705882353,0.0,0.0
Joe Biden,my reaction listening to biden concussively obstruct context from any of his arguments #DemocraticDebate,1,15.0,1.0,6.066666666666666,4.154783053568769,1.0,1.0,0.4,0.06666666666666667,0.26666666666666666,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.13333333333333333,1.0,0.4,0.0,13.5,0.0,0.06666666666666667,0.0,0.0,0.8387649059295654,0.0044660503044724464,0.14687545597553253,0.006278488785028458,0.0007910173735581338,0.0021679529454559088,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
