feature,Logistic Regression,XGBoost,correct_mean_std,incorrect_mean_std
C_ratio*,0.6099227063147182,0.03212561830878258,0.9943 ± 0.0215,0.9879 ± 0.0283
D_ratio,-0.16726295661313875,0.0,0.0006 ± 0.0063,0.0022 ± 0.0104
E_ratio,-0.2408146338993551,0.0,0.0034 ± 0.0152,0.004 ± 0.0164
I_ratio,-0.14669726713426284,0.0,0.0009 ± 0.006,0.0007 ± 0.0072
N_ratio*,-0.5813145318532934,0.0,0.0008 ± 0.0078,0.0052 ± 0.0188
adj_ratio,-0.202028605034122,0.015194728970527649,0.0593 ± 0.055,0.0624 ± 0.0493
adv_ratio*,-0.5640963977813598,0.07108837366104126,0.0086 ± 0.021,0.0377 ± 0.0474
anger*,0.7513523724772803,0.021213706582784653,0.2853 ± 0.2752,0.1658 ± 0.2118
avg_dependency_depth,0.0,0.0,1.0 ± 0.0,1.0 ± 0.0
avg_word_length*,0.33031485249834347,0.038596320897340775,5.6029 ± 0.9403,4.4348 ± 0.8027
certainty_adjectives_count*,-0.24839385522561605,0.0,0.0722 ± 0.2601,0.3306 ± 0.5599
certainty_adverbs_count*,0.2112689091966772,0.0,0.0309 ± 0.174,0.1653 ± 0.4243
certainty_verbs_count*,-0.33267497453273076,0.0,0.0928 ± 0.2916,0.3967 ± 0.6935
disgust,0.020479586415579863,0.021407682448625565,0.0144 ± 0.0852,0.0086 ± 0.0275
doubt_adjectives_count,-0.03384169483680958,0.12988527119159698,0.0619 ± 0.2421,0.1074 ± 0.3234
doubt_adverbs_count*,-0.7903219418994708,0.06124754995107651,0.0412 ± 0.2465,0.3554 ± 0.6023
doubt_verbs_count,0.0912766960515905,0.0,0.0103 ± 0.1015,0.0289 ± 0.1679
fear*,0.2361339633130032,0.01576310023665428,0.3238 ± 0.3422,0.45 ± 0.3765
function_word_ratio*,-1.1216357899547034,0.0512765534222126,0.1605 ± 0.1011,0.3371 ± 0.1373
hapax_legomena*,-0.22699858233931308,0.006096163764595985,0.8547 ± 0.1412,0.8066 ± 0.1279
hedge_C_count*,0.45406027168079427,0.023143591359257698,13.1649 ± 4.2761,20.8471 ± 9.5268
hedge_D_count,-0.19295556795235086,0.0,0.0103 ± 0.1015,0.0496 ± 0.2175
hedge_E_count,0.5685471042364025,0.0,0.0619 ± 0.2819,0.0744 ± 0.2783
hedge_I_count,0.24834071013737757,0.0,0.0206 ± 0.1428,0.0165 ± 0.1569
hedge_N_count*,-0.4003264091562781,0.0,0.0103 ± 0.1015,0.1198 ± 0.4151
hedges_score*,0.7713623837153555,0.0,0.0883 ± 0.2779,0.1753 ± 0.3689
joy*,-1.208404969650189,0.018360259011387825,0.0173 ± 0.0248,0.0664 ± 0.1736
noun_ratio*,-0.13222764111485208,0.03452849015593529,0.5323 ± 0.1201,0.3593 ± 0.1279
pronoun_ratio*,-0.36583072056273186,0.0,0.0045 ± 0.0161,0.0445 ± 0.0515
punctuation_density*,0.2537995951563997,0.15025296807289124,0.5315 ± 0.1821,0.3109 ± 0.1645
punctuation_usage*,0.10402143554692547,0.007232461590319872,0.1005 ± 0.0637,0.0807 ± 0.0609
readability_score*,-0.21390740781977519,0.017435450106859207,12.0495 ± 3.9047,8.5089 ± 3.8744
sadness*,0.21474028842663057,0.012363133952021599,0.1501 ± 0.2065,0.1004 ± 0.1739
sentence_count*,-0.7952568238605321,0.005922883749008179,1.2165 ± 0.5047,2.1942 ± 1.3231
sentence_length_variation*,-0.3014393205822807,0.07829034328460693,0.6931 ± 1.8193,3.0208 ± 3.364
sentiment_polarity,-0.09444783835355909,0.0055221570655703545,0.0259 ± 0.1789,0.0628 ± 0.2466
sentiment_subjectivity*,-0.003602179639383629,0.00364542449824512,0.1509 ± 0.2597,0.3112 ± 0.2814
std_word_length*,0.19173194150144138,0.07888569682836533,4.2573 ± 0.5362,3.2688 ± 0.9298
stopword_ratio*,-0.020028086748241816,0.02298228070139885,0.1297 ± 0.0874,0.2727 ± 0.1208
subordinate_clause_ratio,0.7760083077440407,0.007712055463343859,0.0417 ± 0.0472,0.048 ± 0.047
surprise,-0.36002448689994093,0.034963663667440414,0.0483 ± 0.0733,0.0783 ± 0.1506
type_token_ratio*,0.36646738684106284,0.015694955363869667,0.9187 ± 0.0815,0.8863 ± 0.0813
verb_ratio*,-0.713544303716412,0.009763440117239952,0.0892 ± 0.0643,0.1356 ± 0.0615
word_count*,-0.3235544452454281,0.00940567348152399,18.0722 ± 5.6665,27.2025 ± 11.7951
