target,text,stance
Hillary Clinton,The #HillaryCampaignSong Top 20 will be revealed (and voting will resume) Monday morning at 10am PT! #SemST,0
Hillary Clinton,.@mite72 @PatVPeters NEITHER ONE!!!! Just making a funny! #SemST,0
Hillary Clinton,"I think marriage is as it has always been, between a man and a woman. - @HillaryClinton  #MarriageEquaility #justsaying #SemST",0
Hillary Clinton,"I'm 72 yrs old and ever since I was 6 yrs old I wanted to live long enough to see a woman President - Jim from Monticello, IA #SemST",0
Hillary Clinton,Team USA  showed the world what American women are capable of! Is Hillary next? #WWC2015 #SemST,0
Hillary Clinton,"@HillaryClinton: Here's to fearless women chasing their goals. Congratulations, Team #USA! H #SemST",0
Hillary Clinton,RT @hamackey: RT @SlyDude3677: @msnbc  Republican Menu...pic.twitter.com/z4PH6VTJFl  #SemST,2
Hillary Clinton,The press needs to get out of the way so the peasants can get a glimpse of her Highness. #morningjoe  #SemST,0
Hillary Clinton,"Wait...... you said ""BILL COSBY?""  Oh, I'm sorry, I thought you said ""BILL CLINTON!""  #uniteblue #ReadyForHillary #SemST",1
Hillary Clinton,"WHAT IS ""THE THREAD OF VIOLIN EXTREMISM?"" #OBAMA #ISIS #ISIL #tcot #Elocution #SemST",2
Hillary Clinton,"@TGowdySC Your committee has NOTHING!, 4 other committees found NOTHING! UR wasting our money on a witch hunt. #HillaryClinton #SemST",1
Hillary Clinton,@SenSanders bashes Obama job numbers.Calling it a lie. #istandwithPresidentObama #VoteBlue2016 #HillaryClinton #Democrats #SemST,1
Hillary Clinton,"Based on the long lines, I thought it was free burrito day at Pancheros but it was actually Hillary! #ReadyForHillary #SemST",1
Hillary Clinton,@OutnumberedFNC: Hillary chooses Brianna Keilar for her first interview. What can we expect? #SemST,2
Hillary Clinton,@kwrcrow Probably for the same reason bho has not ...& @SpeakerBoehner is one of them @GOP @HouseGOP @seanhannity  #StopBush #SemST,2
Hillary Clinton,"She's smarter and works harder . Empty accusations,inferences,gossip and rumors are rubbish. #SemST",1
Hillary Clinton,If Hillary wins next year it'll be the first time two presidents have had sex with each other #SemST,2
Hillary Clinton,Do you Progressives know how dangerously close you are to suppressing free speech? Stop it.   #inners  #readyforhillary #SemST,1
Hillary Clinton,@Reince Hardly a hard-hitting interview like with GOP candidates. Did CNN preclear its questions with her campaign in advance?? #SemST,2
Hillary Clinton,"RT @JohnFugelsang: They should just make the GOP primaries a reality game show called ""Who Wants To Get Beat Up By A Girl? #SemST",1
Hillary Clinton,@stylistkavin Amazing how much they sound like Republicans! ; ) #ITrustHillary #SemST,1
Hillary Clinton,@pdg811 Didn't realize I was in a Republican echo chamber of faux scandals! Ask Gowdy to #Releasethetranscript  #ITrustHillary #SemST,1
Hillary Clinton,@thehill : Women deserve a better candidate for the HIGH HONOR if first woman President: We ALL do! #WhyI'mNotVotingForHillary #SemST,0
Hillary Clinton,Controlling #illegalimmigration is Now Racist According to @ChrisCuomo #NewDayCNN  Let's Bash #Trump ALL Day AGAIN #morningjoe #SemST,2
Hillary Clinton,@HillaryClinton : Women deserve a better candidate for the HIGH HONOR of first woman President. We ALL do! #SemST,0
Hillary Clinton,GW Bush gives $100K speech to wounded vets...then sells uranium to Russia. Oh wait. #SemST,2
Hillary Clinton,"One wonders, if your Government ignores the law, the rest of us can too right?  Just say no to  #SemST",0
Hillary Clinton,"It just depends on what the  definition of the word ""subponea"" is...  #subponea #SemST",0
